Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR30 to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,NR30 to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"65,982.26",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR30, NR29 to Rosewood Day centre ",Single award contract,COMMUNITY SERVICES,,,"NR30, NR29 to Rosewood Day centre ",Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"65,982.26",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR30, NR29 to Rosewood Day centre ",Single award contract,COMMUNITY SERVICES,,,"NR30, NR29 to Rosewood Day centre ",Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"65,982.26",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR30 toRosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,NR30 toRosewood Day centre ,Passenger transport.Adult Social Care,,,,,24/08/2007,31/12/2020,31/12/2020,31/12/2020,"179,296.57",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, N7 to  Bowthorpe Road ",Single award contract,COMMUNITY SERVICES,,,"NR3, N7 to  Bowthorpe Road ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"103,281.66",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Stalham to Caister and Great Yarmouth ,Single award contract,COMMUNITY SERVICES,,,Stalham to Caister and Great Yarmouth ,Passenger transport.Adult Social Care,,,,,17/03/2011,31/12/2020,31/12/2020,31/12/2020,"303,506.00",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR1, NR14 to  Norwich, Nansa and Sprowston Day Services ",Single award contract,COMMUNITY SERVICES,,,"NR1, NR14 to  Norwich, Nansa and Sprowston Day Services ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"331,995.07",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR1, NR14 to  Nansa and Norwich Day Services ",Single award contract,COMMUNITY SERVICES,,,"NR1, NR14 to  Nansa and Norwich Day Services ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"237,504.16",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR5 to Norwich Day Services ,Single award contract,COMMUNITY SERVICES,,,NR5 to Norwich Day Services ,Passenger transport.Adult Social Care,,,,,27/07/2007,31/10/2020,31/10/2020,31/10/2020,"155,187.08",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR6 to Nansa and Norwich Day Services ,Single award contract,COMMUNITY SERVICES,,,NR6 to Nansa and Norwich Day Services ,Passenger transport.Adult Social Care,,,,,03/08/2007,29/10/2020,29/10/2020,29/10/2020,"156,076.93",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6, NR7 to Norwich Day Services ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6, NR7 to Norwich Day Services ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"160,660.36",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR14 to Norwich Day Services ,Single award contract,COMMUNITY SERVICES,,,NR14 to Norwich Day Services ,Passenger transport.Adult Social Care,,,,,03/08/2007,29/10/2020,29/10/2020,29/10/2020,"244,184.88",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR4 to Norwich Day Services ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR4 to Norwich Day Services ",Passenger transport.Adult Social Care,,,,,02/05/2008,31/12/2020,31/12/2020,31/12/2020,"196,150.51",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR5 to Norwich Day Services ,Single award contract,COMMUNITY SERVICES,,,NR5 to Norwich Day Services ,Passenger transport.Adult Social Care,,,,,05/05/2008,31/12/2020,31/12/2020,31/12/2020,"157,577.17",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"Attleborough, Thetford to Onward Enterprises and Norwich  ",Single award contract,COMMUNITY SERVICES,,,"Attleborough, Thetford to Onward Enterprises and Norwich  ",Passenger transport.Adult Social Care,,,,,10/08/2007,31/12/2020,31/12/2020,31/12/2020,"216,454.25",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"Norwich to PHAB Club, Vauxhall Centre  ",Single award contract,COMMUNITY SERVICES,,,"Norwich to PHAB Club, Vauxhall Centre  ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"25,027.32",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"Norwich to PHAB Club, Vauxhall Centre  ",Single award contract,COMMUNITY SERVICES,,,"Norwich to PHAB Club, Vauxhall Centre  ",Passenger transport.Adult Social Care,,,,,06/05/2008,28/02/2020,28/02/2020,28/02/2020,"22,012.41",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre  ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre  ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"57,286.93",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"28,643.46",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"28,643.46",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"57,286.93",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"78,392.64",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"57,286.93",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Rosewood Day centre ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Rosewood Day centre ,Passenger transport.Adult Social Care,,,,,20/07/2007,31/12/2020,31/12/2020,31/12/2020,"57,286.93",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR4 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR4 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"31,622.04",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR4 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR4 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,525.14",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6. NR7 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6. NR7 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"20,156.28",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Salvation Army Day Centre  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Salvation Army Day Centre  ,Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,040.61",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR4, NR5 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR4, NR5 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,525.14",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Salvation Army Day Centre  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Salvation Army Day Centre  ,Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"25,195.35",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR4 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR4 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,040.61",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Salvation Army Day Centre  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Salvation Army Day Centre  ,Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,525.14",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR7 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR7 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"33,597.03",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR6 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR6 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,040.61",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR4, NR5 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR4, NR5 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,525.14",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Salvation Army Day Centre  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Salvation Army Day Centre  ,Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"20,156.28",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR6, NR7 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR6, NR7 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,040.61",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR4, NR5 to Salvation Army Day Centre  ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR4, NR5 to Salvation Army Day Centre  ",Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"30,525.14",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Norwich to Salvation Army Day Centre  ,Single award contract,COMMUNITY SERVICES,,,Norwich to Salvation Army Day Centre  ,Passenger transport.Adult Social Care,,,,,03/08/2007,30/04/2020,30/04/2020,30/04/2020,"33,597.03",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR6, NR7 to St Cuthberts ",Single award contract,COMMUNITY SERVICES,,,"NR6, NR7 to St Cuthberts ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"36,385.75",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6, NR7 to St Cuthberts ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6, NR7 to St Cuthberts ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"27,286.76",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR7 to St Cuthberts ,Single award contract,COMMUNITY SERVICES,,,NR7 to St Cuthberts ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"36,385.75",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6, NR7 to St Cuthberts ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6, NR7 to St Cuthberts ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"57,123.68",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR6, NR7, NR10 to Sprowston ",Single award contract,COMMUNITY SERVICES,,,"NR6, NR7, NR10 to Sprowston ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"286,026.52",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR7, NR8 to Sprowston and Bowthorpe ",Single award contract,COMMUNITY SERVICES,,,"NR7, NR8 to Sprowston and Bowthorpe ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"286,026.52",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR6, NR8 to Sprowston ",Single award contract,COMMUNITY SERVICES,,,"NR6, NR8 to Sprowston ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"145,056.31",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR7 to Sprowston ,Single award contract,COMMUNITY SERVICES,,,NR7 to Sprowston ,Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"174,476.18",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR12, NR13 to Sprowston ",Single award contract,COMMUNITY SERVICES,,,"NR12, NR13 to Sprowston ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"214,519.89",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR10, NR12 to Sprowston ",Single award contract,COMMUNITY SERVICES,,,"NR10, NR12 to Sprowston ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"436,701.21",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR7, NR3, NR13 to Sprowston and Nansa ",Single award contract,COMMUNITY SERVICES,,,"NR7, NR3, NR13 to Sprowston and Nansa ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"103,429.23",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR4, NR5, NR6 to Sprowston ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR4, NR5, NR6 to Sprowston ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"288,580.33",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Norwich to Sense ,Single award contract,COMMUNITY SERVICES,,,Norwich to Sense ,Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"477,562.14",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR7, NR8, NR13 to Blofield  ",Single award contract,COMMUNITY SERVICES,,,"NR7, NR8, NR13 to Blofield  ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"217,073.70",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR13, NR30, NR31 to Blofield  ",Single award contract,COMMUNITY SERVICES,,,"NR13, NR30, NR31 to Blofield  ",Passenger transport.Adult Social Care,,,,,27/07/2007,31/12/2020,31/12/2020,31/12/2020,"278,365.10",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR4, NR9, NR7, NR13 to Blofield  ",Single award contract,COMMUNITY SERVICES,,,"NR4, NR9, NR7, NR13 to Blofield  ",Passenger transport.Adult Social Care,,,,,24/08/2007,31/12/2020,31/12/2020,31/12/2020,"225,991.73",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"32,305.48",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"16,499.56",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"16,729.08",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"13,847.39",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"30,295.95",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"33,866.18",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
