category,date,total_spend,YYYY,MM
Staff Public Transport Costs,2014-08-01,42471.64,2014,8
D Care/Sup Act Person Bud,2011-03-01,784.29,2011,3
CMW M&E Other,2011-10-01,11914.08,2011,10
Free Nursing Care  - High Band,2013-05-01,1813.2,2013,5
Computer Equipment Less Than 6000,2011-01-01,1756.82,2011,1
Agency Staff - Operational - Manual,2012-12-01,119241.04,2012,12
Child In Care Secure Welfare,2014-02-01,1460,2014,2
Sessional Fees,2012-05-01,64945.05,2012,5
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2014-01-01,6745.03,2014,1
Protective Clothing and Uniforms,2012-12-01,4363.89,2012,12
Free Nursing Care  - High Band,2013-09-01,1813.2,2013,9
Vehicle Insurance,2013-01-01,-1415.47,2013,1
Equipment For Disabled People,2011-04-01,99678.9,2011,4
Actuarial Fees - Frs17,2012-10-01,5190,2012,10
Grounds Maintenance Costs,2012-01-01,30568.85,2012,1
Paid School Meals Payments,2011-07-01,433845.14,2011,7
Purchase Of Vehicles over 20K,2011-11-01,88000,2011,11
Free Nursing Care  - High Band,2013-04-01,1817.7,2013,4
Structural Building Work,2012-01-01,65548.7,2012,1
Bmf Asphalting,2014-01-01,7177,2014,1
Library Books - Junior Fiction,2012-09-01,8095.46,2012,9
Free School Meals Payments,2011-12-01,655572,2011,12
Agency Staff - Social Services Operational-Other1 April,2013-02-01,32929.85,2013,2
Premises Manual,2011-03-01,457.84,2011,3
Residence Order Allowance,2012-07-01,1022.8,2012,7
Child In Care Residential Home In Norfolk,2012-04-01,257950.91,2012,4
Library Books - Junior Fiction,2013-07-01,8801.67,2013,7
Teaching Support,2011-04-01,7884.4,2011,4
Highway Patching to Carriageway and Footway,2013-08-01,315,2013,8
Bmf Electrical Rewiring,2013-04-01,2415.79,2013,4
Agency Staff - Admin/Chief Officers - Scale K and Above,2013-10-01,6714.62,2013,10
Staff Training Costs,2013-12-01,18348.96,2013,12
Hospitality Expenses,2012-01-01,1859.6,2012,1
Cost of Providing Short Term Breaks,2012-02-01,3672.38,2012,2
Highway Road Sign Maintenance,2011-09-01,3484.61,2011,9
Non Staff Advertising - Statutory,2011-05-01,2314.6,2011,5
Consultants Fees and Charges,2013-07-01,4596.65,2013,7
Agency Staff - Sessional Tutors,2013-08-01,9337.41,2013,8
Foster Care Retainer Pay,2011-05-01,1408.87,2011,5
Domiciliary Care,2012-07-01,1176381.65,2012,7
Construction Costs Roads Other,2011-03-01,9338,2011,3
Bmpp Building Repairs,2013-08-01,28096.82,2013,8
Bmpp Security Systems,2013-02-01,5366.43,2013,2
Free Nursing Care,2011-11-01,24525.26,2011,11
Staff Car & Cycle Allowances,2011-03-01,34.8,2011,3
Tank Clean/Water System Disinfection,2012-06-01,49450.76,2012,6
Marketing Design Costs,2011-05-01,12023,2011,5
Insurance Premiums Paid -External,2012-10-01,86823.31,2012,10
Construction Costs Roads Other,2014-01-01,57825,2014,1
Rents and Hire of Premises & Facilities,2011-01-01,64148.39,2011,1
Operational Equipment - Purchase,2011-04-01,2217.35,2011,4
Staff Subsistence & Conference Expenses,2013-02-01,10810.2,2013,2
Valuers Fees,2011-05-01,4941.63,2011,5
Agency Staff - Admin/Chief Officers - Scale K and Above,2012-08-01,19931.72,2012,8
Telephone Rental & Calls,2013-11-01,76472.2,2013,11
Direct Payment - One Off Payment To Carers,2012-04-01,700,2012,4
General Disbursements,2013-06-01,13000,2013,6
Other Vehicles Running Costs,2011-01-01,1929.7,2011,1
Staff Car & Cycle Allowances,2014-01-01,382.05,2014,1
Road Maintenance Contractor Payments,2013-11-01,65451.24,2013,11
Local Land Charges Fees,2013-11-01,506.73,2013,11
Personal Budget - Domiciliary Care,2014-08-01,293260.56,2014,8
Non Staff Public Transport Costs,2012-08-01,937273.91,2012,8
Other Vehicles Running Costs,2012-06-01,2593.37,2012,6
Rents and Hire of Premises & Facilities,2012-06-01,298195.79,2012,6
Wireless - Maintenance,2011-05-01,2288.37,2011,5
Tank Clean/Water System Disinfection,2011-01-01,11330.2,2011,1
Bmf Asphalting,2013-11-01,12954.77,2013,11
Furniture Purchases,2014-08-01,2482.56,2014,8
Agency Staff - Permanent Teachers,2012-05-01,5873.87,2012,5
Bmf Internal Redecoration,2013-05-01,2617.16,2013,5
Bmpp Electrical Installation Testing,2012-12-01,35132.4,2012,12
Construction Costs - Roads,2012-01-01,1238042.21,2012,1
Other Capital,2011-06-01,1425,2011,6
Bmf Fencing,2014-02-01,3645,2014,2
Agency,2013-05-01,9661.91,2013,5
Gas Appliances & Repairs Test,2011-10-01,9537.41,2011,10
Adaptation/Improvement-Existing Buildings,2012-12-01,27529.5,2012,12
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2013-11-01,8362.5,2013,11
Highway Rechargeable Works Payments,2012-12-01,51881.66,2012,12
Highway Drainage Repairs,2014-04-01,2251.7,2014,4
Underspend B/Fwd,2011-12-01,65798.43,2011,12
Certificate - Electricity Power & Light,2011-02-01,253031.97,2011,2
Personal Budget - Long Term Residential Care,2012-02-01,918,2012,2
Bmpp Tank Clean/Water System Disinf,2013-12-01,10437.73,2013,12
Highway Drainage Rodding and Jetting,2012-05-01,40386.84,2012,5
Highway Drainage Repairs,2013-10-01,17667.25,2013,10
ICT Equipment Purchases,2013-05-01,328406.45,2013,5
Highway Bridge Maintenance,2012-04-01,123816.14,2012,4
Linen & Laundry,2011-11-01,2921.88,2011,11
School House Maintenance.,2011-03-01,1346.65,2011,3
Bmf Internal Redecoration,2013-04-01,15216.24,2013,4
Fixed Price Vehicle Maintenance,2012-09-01,4728.22,2012,9
Other Vehicles Running Costs,2014-07-01,8579.03,2014,7
Rents and Hire of Premises & Facilities,2014-07-01,99382.57,2014,7
Non Staff Public Transport Costs,2013-10-01,809330.93,2013,10
ICT Equipment Purchases,2013-09-01,113776.98,2013,9
Consumable Stores,2011-02-01,538.56,2011,2
Catering Supplies,2011-09-01,4977.03,2011,9
Non Staff Public Transport Costs,2014-04-01,840081.38,2014,4
Contract Taxi Hire,2012-05-01,267.97,2012,5
Cost of Sales,2011-02-01,994.8,2011,2
Bmf Boiler Servicing,2013-07-01,32786.05,2013,7
Highway Drainage Rodding and Jetting,2014-02-01,85589.71,2014,2
Bmf Gas Appliances & Repairs Test,2013-08-01,3449.01,2013,8
Agency,2013-09-01,18020.05,2013,9
ICT Equipment Purchases,2013-04-01,330019.93,2013,4
Other Vehicles Running Costs,2014-06-01,7507.08,2014,6
School House Maintenance.,2014-01-01,556.22,2014,1
Awards Or Grants For School Children Students & Learners,2011-04-01,775,2011,4
Rents and Hire of Premises & Facilities,2014-06-01,192393.29,2014,6
ICT System Improvements,2011-10-01,511046.67,2011,10
Highway Drainage Repairs,2012-08-01,4326.95,2012,8
Purchase Of Land,2012-11-01,7730,2012,11
Contracted Overnight Accommodation,2011-12-01,5463.28,2011,12
Child In Care Residential Home In Norfolk,2012-12-01,226312.14,2012,12
Road Maintenance Contractor Payments,2013-02-01,50578.98,2013,2
Highway Winter Vehicle Charges,2012-10-01,1060.55,2012,10
Consultants Fees - Environmental,2012-03-01,1189.32,2012,3
Staff Subsistence & Conference Expenses,2013-11-01,14062,2013,11
Telephone Rental & Calls,2013-02-01,162935.01,2013,2
Agency Staff - Operational Hay & M,2013-03-01,16144.19,2013,3
Supported Living,2013-07-01,1005275.53,2013,7
Office Equipment & Supplies,2012-11-01,8443.32,2012,11
Other (Photos Etc),2012-06-01,1061.75,2012,6
Staff Public Transport Costs,2013-09-01,4165.95,2013,9
Agency Staff - Admin/Chief Officers - Scale K and Above,2011-02-01,51961.4,2011,2
Bmpp Security Systems,2013-11-01,8872.9,2013,11
Architects Fees,2013-12-01,600,2013,12
Direct Payment - Respite Residential Care,2013-05-01,4200,2013,5
Gas Pressure Testing,2011-04-01,8272.8,2011,4
Actuarial Fees-Investment,2012-01-01,9500,2012,1
Books and Publications,2012-11-01,8921.22,2012,11
Swimming Pool Plant,2012-03-01,1729.43,2012,3
Staff Public Transport Costs,2013-04-01,17331.02,2013,4
Bmf External Redecoration,2013-01-01,5330,2013,1
Construction Costs -Roads - ECI - May Gurney,2012-07-01,17077.24,2012,7
Child In Care Other,2011-03-01,8100.54,2011,3
ICT Leasing Costs,2011-04-01,750.72,2011,4
Direct Payment - Respite Residential Care,2013-09-01,586.56,2013,9
Highway Street Lighting Non-Routine Maintenance,2012-01-01,4976,2012,1
Awards Or Grants For School Children Students & Learners,2013-06-01,1900,2013,6
Other (Photos Etc),2014-07-01,7186.26,2014,7
Bmpp Gas Appliances & Repairs Test,2013-03-01,6239.93,2013,3
Free Nursing Care  - High Band,2014-08-01,1831.32,2014,8
Highway Winter Gritting,2013-01-01,54122.32,2013,1
Certificate - Building Fabric,2013-12-01,41479.72,2013,12
Operational Staff - Scale A to J,2013-02-01,5466.82,2013,2
Insurance Premiums Paid -External,2011-10-01,540.18,2011,10
Actuarial Fees - Frs17,2013-08-01,30110,2013,8
ICT Other Running Costs,2013-01-01,147613.3,2013,1
Staff Public Transport Costs,2013-05-01,19041.59,2013,5
Accreditation,2011-03-01,2300,2011,3
Phone Rentals,2011-03-01,10346.35,2011,3
Permanent Teachers,2012-05-01,9513.66,2012,5
Agency Staff - Social Services Operational-Other1 April,2013-11-01,22085.98,2013,11
Electrical & Mechanical Maintenance.,2012-06-01,9399.24,2012,6
Own Disbursements Other,2011-06-01,600,2011,6
Building Maintenance & Repairs,2011-09-01,121571.65,2011,9
Other Support Costs,2012-07-01,37384.76,2012,7
Teaching Support,2013-06-01,1589,2013,6
Highway Traffic Signals and Systems Non-Planned Maintenance,2011-11-01,11540.59,2011,11
Vehicle Insurance,2012-11-01,-434,2012,11
Cost of Sales,2012-08-01,4855.45,2012,8
Electrical & Mechanical Maintenance.,2011-01-01,15357.6,2011,1
Contract Overheads,2012-03-01,297332,2012,3
Purchase of Care - Unspecified,2011-01-01,25789.2,2011,1
Printing Stationery and Photocopying,2011-08-01,106075.34,2011,8
Gas Appliances & Repairs Test,2012-10-01,4250.31,2012,10
Equipment Purchases,2012-09-01,39102.7,2012,9
Bmf Security Systems,2013-05-01,2027.54,2013,5
Highway Bridge Maintenance,2012-12-01,73365.39,2012,12
Highway Patching to Footway,2013-05-01,50277,2013,5
Highway Drainage Repairs,2011-02-01,5039.06,2011,2
Accreditation Scheme Payments,2011-11-01,418389.99,2011,11
Short Term Care with Nursing,2014-02-01,22014.62,2014,2
Highway Rechargeable Works Payments,2012-04-01,160036.92,2012,4
Voluntary Driver Payments,2013-08-01,13934.5,2013,8
Certificate - Electricity Power & Light,2013-10-01,243895.34,2013,10
Child In Care Residential Home Out Of Norfolk,2012-11-01,245058.32,2012,11
Contract Transport  Hire,2013-03-01,1684390.37,2013,3
Insurance Costs,2014-03-01,421,2014,3
Fire Alarms,2012-09-01,30761.52,2012,9
General Disbursements,2011-04-01,13703.5,2011,4
Cost of Sales,2014-04-01,4208.54,2014,4
Non Staff Public Transport Costs,2011-02-01,70495.87,2011,2
Internal Trading Units,2014-08-01,744.4,2014,8
Grant Payments,2014-05-01,18625,2014,5
Staff Conference Expenses Travel & Subsistence,2011-03-01,749.7,2011,3
Architects Charges (NPS),2011-07-01,995,2011,7
Partnership Salary Costs,2011-10-01,1745.55,2011,10
"ICT Software Purchases, Licenses & Maintenance",2013-12-01,80995.67,2013,12
Cost of Sales,2013-10-01,9621.1,2013,10
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2013-02-01,10301.48,2013,2
Bmf Security Systems,2013-09-01,2027.76,2013,9
Highway Patching to Footway,2013-09-01,31208.5,2013,9
Library Books-Standing Orders,2011-07-01,3923.77,2011,7
Short Term Care with Nursing,2012-05-01,5426.98,2012,5
Other Travel Expenses,2012-07-01,529.56,2012,7
Private Contractor Site Operation Payments,2014-05-01,782065.53,2014,5
Bmpp Fire Alarms,2013-03-01,5938.62,2013,3
Bmf Asphalting,2013-02-01,13270.29,2013,2
Display Materials,2011-06-01,1908,2011,6
Other (Photos Etc),2011-01-01,12682.75,2011,1
Archive Boxes,2011-01-01,6807.1,2011,1
Day Care / Supported Activities,2011-07-01,291585.19,2011,7
Child In Care Residential Education Only,2013-08-01,12731.71,2013,8
Certificate - Electricity Power & Light,2012-08-01,432101.73,2012,8
ICT System Improvements,2012-10-01,15149.51,2012,10
Bmf Security Systems,2013-04-01,6272.7,2013,4
Highway Patching to Footway,2013-04-01,44816.39,2013,4
Gas (mains supplied),2012-12-01,928.51,2012,12
Schedule of Rates Vehicle Maintenance,2014-07-01,32299.45,2014,7
Actuarial Fees-Investment,2014-01-01,5000,2014,1
Supported Living,2011-10-01,1315482.82,2011,10
Property Services DSO Charges,2011-03-01,275827.52,2011,3
Counsel's Fees,2012-03-01,39406.92,2012,3
Boiler Servicing,2011-10-01,139309.23,2011,10
Actuarial Fees - Frs17,2012-09-01,750,2012,9
Landfill Leachate Costs,2014-07-01,74420.88,2014,7
Equipment Repairs Maintenance & Servicing,2012-03-01,18702.61,2012,3
Electricity,2013-05-01,145880.44,2013,5
Supporting Families with Disabilities - Domiciliary Care,2014-03-01,12434.44,2014,3
Contract Cleaning & Other Cleaning Services,2011-06-01,86424.09,2011,6
Road Fund Driving & Operators Licences,2011-03-01,2580,2011,3
Child In Care Residential School 52 Week In Norfolk,2012-06-01,118152.32,2012,6
Landfill Leachate Costs,2014-06-01,32813.16,2014,6
Non Staff Public Transport Costs,2011-12-01,906188.54,2011,12
Bmpp Gas Appliances & Repairs Test,2012-11-01,4868.76,2012,11
Swimming & Games Facilities,2013-01-01,5819,2013,1
Homelessness Support Child In Need,2012-07-01,2750,2012,7
Library Books - Junior Fiction,2012-10-01,4915.26,2012,10
Care Leavers Independent Living Grant,2014-03-01,425,2014,3
Child In Care Other,2012-01-01,5784.04,2012,1
Child In Care Residential Home In Norfolk,2011-09-01,295093.5,2011,9
Schedule of Rates Vehicle Maintenance,2014-06-01,14339.55,2014,6
Architects Charges (NPS),2011-05-01,459.54,2011,5
Highway Winter Salt Barn Availability Charge under PFI,2013-02-01,39123.42,2013,2
ICT Software Purchases Licenses & Maintenance,2013-06-01,176198.64,2013,6
Long Term Residential Care,2013-11-01,6883335.90000013,2013,11
Direct Payment - One Off Payment To Carers,2011-09-01,3013,2011,9
Engineering Design Fees,2012-03-01,88636.97,2012,3
Schedule of Rates Vehicle Maintenance,2012-06-01,150217.88,2012,6
Construction Costs - Roads - Management,2011-02-01,1430065.98,2011,2
Electricity,2013-04-01,123100.73,2013,4
Highway Drainage Repairs,2011-12-01,11135.85,2011,12
Child In Care Residential School 52 Week In Norfolk,2014-06-01,43336.04,2014,6
Office Equipment & Supplies,2013-03-01,17317.84,2013,3
Landfill Leachate Costs,2012-06-01,15189.06,2012,6
Highway Traffic Signals and Systems Non-Planned Maintenance,2013-12-01,5186.58,2013,12
Agency Staff - Operational Hay & M,2012-11-01,15115.4,2012,11
Private Vol. Ind. School Pre-School & Playgroup,2014-03-01,116659.47,2014,3
Consultants Fees and Charges,2012-10-01,18040.5,2012,10
Highway Street Lighting Non-Routine Maintenance,2014-01-01,1489.85,2014,1
Short-term Vehicle Hire,2011-05-01,15415.31,2011,5
Child In Care Residential School 52 Week In Norfolk,2014-07-01,43336.04,2014,7
Day Care / Supported Activities,2011-05-01,311726.64,2011,5
Accreditation Scheme Payments,2013-12-01,325189.69,2013,12
Tree Planting/Landscaping,2011-01-01,750,2011,1
Highway Road Sign Maintenance,2012-04-01,1758.48,2012,4
Electricity,2013-09-01,71666.87,2013,9
Alterations To Service - Electricity,2012-11-01,2316,2012,11
Construction Costs - New Buildings,2011-10-01,232316.92,2011,10
Postage & Postal Services,2014-05-01,4083.46,2014,5
Books and Publications,2013-03-01,1700.47,2013,3
Child In Care Residential Education Only,2012-09-01,8516.66,2012,9
Highway Traffic Signals and Systems Energy,2011-04-01,13930.71,2011,4
Foster Parents Payments,2013-05-01,160751.97,2013,5
Contract Transport  Hire,2012-11-01,2152295.27,2012,11
Child In Care Residential Home Out Of Norfolk,2013-03-01,380478.58,2013,3
Highway Bridge Maintenance,2011-09-01,163072.35,2011,9
Building / Planning Applications,2013-10-01,17995.63,2013,10
Highway Illuminated Sign Non-Routine Maintenance,2012-07-01,12353.42,2012,7
Bmpp Fire Alarms,2012-11-01,5156.26,2012,11
Schedule of Rates Vehicle Maintenance,2011-01-01,52173.39,2011,1
Temporary Staff Admin & Clerical,2014-05-01,5368.93,2014,5
Purchase Of Equipment,2013-08-01,59330.43,2013,8
Bmpp School Equipment Inspection/Test,2012-12-01,8877.71,2012,12
Certificate - Building Fabric,2011-11-01,57360.67,2011,11
Landfill Leachate Costs,2011-01-01,7164.34,2011,1
Building Maintenance & Repairs,2012-12-01,110474.98,2012,12
Housing Related Support-Other Bodies,2012-06-01,37235.26,2012,6
Staff Medical & Eyesight  Fees,2012-03-01,27412.67,2012,3
Agency Staff - Admin/Chief Officers - Scale K and Above,2011-12-01,46133.99,2011,12
Grounds Maintenance Costs,2013-02-01,19034.07,2013,2
Voluntary Driver Payments,2012-09-01,6842.3,2012,9
Housing Related Support-Other Bodies,2014-06-01,156205.42,2014,6
Placement Cost - Agency Fee,2014-05-01,1194.42,2014,5
Equipment Purchases,2013-08-01,84899.21,2013,8
Care Leavers Rent & Accommodation,2012-07-01,14536.32,2012,7
Foster Parents Payments,2013-04-01,206499.789999999,2013,4
Other Professional Services,2014-03-01,115781.01,2014,3
Child In Care Residential School 38 Week In Norfolk,2014-03-01,46029,2014,3
Alterations To Service - Telecom,2013-12-01,3248.16,2013,12
Bmpp Electrical & Mechanical Maintenance,2013-06-01,2596.21,2013,6
Architects Fees,2011-11-01,359935.24,2011,11
Catering Supplies,2012-04-01,1458.84,2012,4
Bmf Building Work,2013-12-01,5781.28,2013,12
Foster Parents Payments,2013-09-01,166361.43,2013,9
Housing Related Support-Other Bodies,2014-07-01,159230.07,2014,7
Hospitality Expenses,2014-01-01,2108.33,2014,1
Premises Manual,2012-01-01,13684.43,2012,1
Default,2013-01-01,1000,2013,1
Bank Charges,2012-03-01,10,2012,3
DVD'S,2012-06-01,8692.47,2012,6
Teaching Materials,2011-02-01,600,2011,2
Supported Living,2012-10-01,1126433.15,2012,10
Boiler Servicing,2012-10-01,81519.89,2012,10
Services Provided By Landlord,2013-09-01,21841.36,2013,9
Agency Staff - Operational APT&C,2013-01-01,113984.77,2013,1
Contracted Overnight Accommodation,2011-02-01,13942.42,2011,2
Internal Recharge Patching Cw,2011-02-01,2326.2,2011,2
Library Books - Electronic Subscriptions,2013-04-01,34763.5,2013,4
Swimming Pool Plant Replacement,2011-10-01,2950,2011,10
Ext Highways - Utilities Trench & Cover Repairs,2012-02-01,6046.18,2012,2
Highway Traffic Signals and Systems Energy,2013-06-01,14915.06,2013,6
Equipment Leasing Costs,2014-07-01,592.13,2014,7
Library Books - Junior Fiction,2011-10-01,6963.85,2011,10
Hospitality Expenses,2011-03-01,1848.35,2011,3
Services Provided By Landlord,2013-04-01,6087.36,2013,4
Foster Carer Allowance Special Purposes,2014-03-01,2900,2014,3
Long Term Residential Care,2013-02-01,6001138.81999998,2013,2
Cost of Sales,2011-12-01,9195.78,2011,12
Buildings Fixtures & Fittings,2012-06-01,2128.17,2012,6
Surveyors Fees,2011-12-01,20000,2011,12
Highway Winter Salt Barn Availability Charge under PFI,2013-11-01,39397.26,2013,11
Purchase Of Books,2012-07-01,591.2,2012,7
Bmf Reroofing,2013-06-01,25599.82,2013,6
On-Line Bank Charges,2013-01-01,3817.47,2013,1
Buildings Fixtures & Fittings,2014-06-01,4375.75,2014,6
Estate / Site Management Costs,2012-07-01,10238.43,2012,7
Certificate - Electricity Power & Light,2011-12-01,183112.98,2011,12
Staff Car & Cycle Allowances,2012-01-01,363.88,2012,1
Bmf Tank Clean/Water System Disinf,2014-02-01,673.85,2014,2
Consultants Fees and Charges,2011-10-01,2789.97,2011,10
Construction Costs Roads Other,2012-01-01,3170.99,2012,1
Services Provided By Landlord,2013-05-01,2191.44,2013,5
Equipment Leasing Costs,2012-06-01,1236.39,2012,6
External Examinations Fees,2014-03-01,9205.55,2014,3
Library Books - Electronic Subscriptions,2013-05-01,8465,2013,5
DVD'S,2014-06-01,10124.25,2014,6
Highway Road Markings,2012-03-01,13701.01,2012,3
Highway Road Sign Maintenance,2012-12-01,4729.27,2012,12
CMW M&E Other,2012-09-01,1517.54,2012,9
Buildings Fixtures & Fittings,2014-07-01,515.2,2014,7
Free Nursing Care,2013-12-01,10658.92,2013,12
Interest Paid on External Loans,2011-10-01,7826623.1,2011,10
Campaign Expenses,2011-04-01,660,2011,4
Pension Fund Deficit Payment,2011-08-01,34750,2011,8
Highway Rechargeable Works Payments,2011-09-01,17282.85,2011,9
Casual Labour,2012-04-01,1506.96,2012,4
Adaptation/Improvement-Existing Buildings,2011-09-01,20349.58,2011,9
Site Invest/Surveys,2011-08-01,7,2011,8
Equipment Leasing Costs,2011-01-01,983.81,2011,1
Standard Fund Other Staff,2011-05-01,864.97,2011,5
Building Maintenance & Repairs,2012-04-01,162295.89,2012,4
Witnesses Expenses and Reports,2012-03-01,15828.22,2012,3
Electrical Installation Testing,2011-11-01,9235.62,2011,11
Room Hire,2011-04-01,3821.5,2011,4
Purchase Of Land,2013-03-01,12000,2013,3
Grounds Maintenance Costs,2013-11-01,5712.6,2013,11
Fixed Price Vehicle Maintenance,2013-08-01,46956.61,2013,8
Long Term Care with Nursing,2013-01-01,830538.119999998,2013,1
School House Maintenance.,2012-01-01,1759.22,2012,1
Recharge Office Accommodation,2011-11-01,3913.9,2011,11
Construction Costs - Imtech,2014-08-01,34258.58,2014,8
Actuarial Fees- Actuarial,2013-07-01,5175,2013,7
Admin & Clerical - Scale A to J,2011-08-01,4392.97,2011,8
Non Staff Advertising - Statutory,2011-07-01,1250,2011,7
Foster Care Retainer Pay,2011-07-01,12758.82,2011,7
Non Staff Advertising - Discretionary,2014-03-01,61059.62,2014,3
Staff Training Costs,2011-11-01,62295.94,2011,11
DVD'S,2011-01-01,3847.47,2011,1
Non Staff Course Conference & Subsistence Expenses,2012-03-01,10122,2012,3
Cost of Licenses & Subscriptions,2012-03-01,34876.42,2012,3
Free School Meals Payments,2011-02-01,260.07,2011,2
ICT System Improvements,2013-07-01,1104472.81,2013,7
ICT Software Purchases Licenses & Maintenance,2011-04-01,47225.39,2011,4
Marketing Design Costs,2011-07-01,43500.75,2011,7
Valuers Fees,2011-07-01,6752.21,2011,7
Fire Alarms,2012-10-01,7343.01,2012,10
Fixed Price Vehicle Maintenance,2011-10-01,942.99,2011,10
Private Vol. Ind. School Pre-School & Playgroup,2014-06-01,234809.32,2014,6
Purchase Of Furniture,2012-07-01,6713.65,2012,7
Standard Fund Supply Teachers,2014-05-01,2047.57,2014,5
Purchase Of Equipment,2012-10-01,6349.65,2012,10
Cost of Providing Short Term Breaks,2012-08-01,2051.71,2012,8
Bank Charges,2011-08-01,10,2011,8
Purchase Of IT,2014-05-01,51440,2014,5
Actuarial Fees-Investment,2013-02-01,1300,2013,2
Agency Staff,2011-05-01,23573.45,2011,5
Agency Staff - Admin & Clerical - Scale A to J,2012-04-01,41310.76,2012,4
Agency Staff - Operational Hay & M,2013-01-01,17810.55,2013,1
Hire Of Premises,2011-04-01,2234.33,2011,4
Other Professional Services,2011-01-01,210112.51,2011,1
Road Maintenance Contractor Payments,2012-01-01,41920.98,2012,1
Telephone Rental & Calls,2012-01-01,106189.54,2012,1
Purchase Of Vehicles over 20K,2013-12-01,545150.35,2013,12
Minor Building Repairs,2012-07-01,19899.61,2012,7
Bmf External Redecoration,2013-03-01,450,2013,3
Supporting Families with Disabilities - Domiciliary Care,2012-06-01,6401.96,2012,6
Private Vol. Ind. School Pre-School & Playgroup,2014-07-01,1070061.65,2014,7
Staff Advertising  Expenses,2011-07-01,1388.59,2011,7
Alterations To Service - Electricity,2013-01-01,1472,2013,1
ICT System Improvements,2012-09-01,495632.61,2012,9
Agency Staff - Admin/Chief Officers - Scale K and Above,2012-02-01,45802.57,2012,2
Bmf Gas Appliances & Repairs Test,2013-07-01,1795.1,2013,7
Supporting Families with Disabilities - Domiciliary Care,2014-06-01,5742.64,2014,6
Bmf Boiler Servicing,2013-08-01,48484.79,2013,8
Foster Parents Payments,2014-08-01,183764.5,2014,8
Child In Care Residential School 52 Week Out Of Norfolk,2013-03-01,46460.96,2013,3
Cost of Providing Short Term Breaks,2013-10-01,610.4,2013,10
Highway Winter Salt Barn Availability Charge under PFI,2014-01-01,39397.26,2014,1
Highway Traffic Signals and Systems Accident Damage,2013-10-01,16567.73,2013,10
Construction Costs-Mobile Classrooms,2011-06-01,9802.19,2011,6
Equipment Purchases,2012-10-01,91740.41,2012,10
Hospitality Expenses,2013-11-01,897.08,2013,11
Gas Appliances & Repairs Test,2012-09-01,3255.44,2012,9
ICT Other Running Costs,2013-03-01,328230.75,2013,3
Bmpp Gas Appliances & Repairs Test,2013-01-01,1059.13,2013,1
Schedule of Rates Vehicle Maintenance,2014-03-01,8370.75,2014,3
Construction Costs - Roads - HOPS,2012-04-01,-833.89,2012,4
Highway Road Markings,2011-08-01,49370.74,2011,8
Highway Winter Gritting,2013-03-01,17288.42,2013,3
V.D.P. Publicity,2011-04-01,120,2011,4
Highway Winter Salt Barn Availability Charge under PFI,2011-03-01,74549.16,2011,3
Premises Staff Overtime,2011-04-01,1231.3,2011,4
Paid School Meals Payments,2011-05-01,538.05,2011,5
Bmf Repair & Replacement Of Light,2013-03-01,30950.85,2013,3
Swimming & Games Facilities,2012-11-01,2518,2012,11
Supporting Families with Disabilities - Domiciliary Care,2014-07-01,7387.24,2014,7
Other Expenditure,2011-09-01,1735,2011,9
Landfill Leachate Costs,2014-03-01,34850.48,2014,3
Agency Staff - Operational - Manual,2011-09-01,31495.75,2011,9
Highway Patching to Carriageway and Footway,2013-07-01,53,2013,7
Other Professional Services,2014-07-01,155818.43,2014,7
Child In Care Residential School 38 Week In Norfolk,2014-07-01,7555,2014,7
Pension Fund Deficit Payment,2012-03-01,69500,2012,3
Library Books - Junior Fiction,2013-08-01,2457.49,2013,8
Repairs Subject To Insurance Claims,2011-02-01,958.58,2011,2
Housing Related Support-Other Bodies,2014-03-01,129383.04,2014,3
Conversion Works,2013-10-01,6000,2013,10
Foster Care Child In Care Christmas Allowance,2011-12-01,1188,2011,12
Agency Staff - Panel Funded Staff,2011-08-01,76.65,2011,8
"Non Staff Course, Conference & Subsistence Expenses",2014-08-01,29427.82,2014,8
Non Staff Public Transport Costs,2012-02-01,701811.64,2012,2
Private Finance Initiative Payments,2014-02-01,1010723.89,2014,2
CMW M&E Other,2013-07-01,4997.88,2013,7
Other Professional Services,2014-06-01,123744.15,2014,6
Conservation Material,2011-04-01,1060,2011,4
Payments to Organisations Providing Services To NCC,2012-05-01,15292.54,2012,5
Adaptations,2011-01-01,23908.95,2011,1
Witnesses Expenses and Reports,2011-08-01,8540.47,2011,8
Council Tax / Business Rates Payments,2011-07-01,2200,2011,7
Admin & Clerical - Scale A to J,2012-03-01,44005.06,2012,3
Other Professional Services,2012-06-01,19598.44,2012,6
Electricity,2014-08-01,77572.79,2014,8
Contract Transport  Hire,2013-01-01,1636304.81,2013,1
Construction Costs - Roads,2013-11-01,1194867.96,2013,11
Highway Drainage Repairs,2012-02-01,3794.95,2012,2
Grounds Maintenance Costs,2014-01-01,53223.63,2014,1
Subscriptions To Other Libraries,2011-04-01,1197.6,2011,4
Support Staff Overtime,2012-07-01,4873.6,2012,7
Structural Building Work,2011-03-01,18868.57,2011,3
Payments to Organisations Providing Services To NCC,2014-02-01,1056451.77,2014,2
Consultants Fees and Charges,2013-08-01,2466.29,2013,8
Highway Winter Salt Usage,2013-01-01,89269.21,2013,1
Grounds Maintenance Costs,2011-03-01,65810.72,2011,3
