supplier_name,org_type,total_spend,YYYY
CBRE LIMITED,MEDIUM / LARGE,120112.22,2013
A.W. EASTON'S COACHES LIMITED,SMALL BUSINESS,11125.92,2013
THE VALIDIUM GROUP LIMITED,SMALL BUSINESS,85722.2,2013
KEYTERRA-FIRMA LIMITED,SMALL BUSINESS,2950,2013
DIRECT WINDSCREEN SERVICES LIMITED,MEDIUM / LARGE,2716,2012
T-THREE PUBLIC SECTOR CONSULTING LIMITED,SMALL BUSINESS,225.6,2014
PRACTICAL LAW COMPANY LIMITED,MEDIUM / LARGE,52140,2011
CATHEDRAL CABS LTD,NOT DEFINED,48640,2014
KIER MG LIMITED,MEDIUM / LARGE,108187887.04,2012
AMBER ARC LIMITED,NOT DEFINED,203041.2,2014
FOSTERING SOLUTIONS LIMITED,MEDIUM / LARGE,1863613.57999999,2011
SUNRISE CARE HOMES LIMITED,SMALL BUSINESS,86008.18,2012
PARKRUN LIMITED,SMALL BUSINESS,1666.66,2013
GSE RESIDENTIAL LIMITED,SMALL BUSINESS,424753.9,2011
HOLMES E & M SERVICES LIMITED,SMALL BUSINESS,48006,2011
UNITAX UTILITIES LIMITED,SMALL BUSINESS,140077.44,2011
FENLAND ADAPTIONS LIMITED,,41282.68,2014
GREENACRES CARE HOME,,11365.72,2013
BARNFATHER WIRE LIMITED,NOT DEFINED,7988.22,2011
NORTHGATE INFORMATION SOLUTIONS UK LIMITED,MEDIUM / LARGE,128912.9,2012
ATLAS (UK) LIMITED,SMALL BUSINESS,1990,2011
BARRYS CARS & COMMERCIALS LTD,SMALL BUSINESS,55583,2012
STARFISH LIMITED,SMALL BUSINESS,1333.16,2014
ANGLIA AIR CONDITIONING LIMITED,SMALL BUSINESS,83272.2,2011
WOLSELEY UK LIMITED,MEDIUM / LARGE,81926.48,2014
H.SEMMENCE & CO. LIMITED,SMALL BUSINESS,1917412.78,2011
EAST COAST DIESEL LIMITED,SMALL BUSINESS,2561.5,2011
EAST COUNTY CARE LTD,,809906.780000002,2012
CANARY EXPRESS TAXIS AND COURIERS LIMITED,SMALL BUSINESS,223604.4,2011
ROCOM LIMITED,SMALL BUSINESS,1825.9,2012
NORFOLK STRAW PRODUCTS LTD,SMALL BUSINESS,7281.6,2012
MEDICO NURSING AND HOMECARE LIMITED,NOT DEFINED,389677.78,2012
HAYMARKET PUBLISHING SERVICES LIMITED,MEDIUM / LARGE,1120,2014
EMERGENCY ONE (U.K.) LIMITED,MEDIUM / LARGE,60239.54,2013
NATIONWIDE CRASH REPAIR CENTRES LIMITED,MEDIUM / LARGE,1000.26,2012
EXPERT ASSESSMENT AND CONSULTANCY LIMITED,SMALL BUSINESS,3750,2013
CHAPLIN FARRANT LIMITED,SMALL BUSINESS,1170,2014
DIAMOND CARE (UK) LIMITED,SMALL BUSINESS,220691.38,2013
AVM EDUCATION LIMITED,MEDIUM / LARGE,996534.24,2012
DOMINIC WINTER BOOK AUCTIONS LTD,NOT DEFINED,1282.8,2013
RUSSELL LODGE CARE CENTRE LIMITED,,13154.96,2014
LEYTON HEALTHCARE (NO 5) LIMITED,SMALL BUSINESS,50531.6,2013
SAXON PACKAGING LIMITED,SMALL BUSINESS,13911.04,2013
MR. BRIGHT'S LIMITED,SMALL BUSINESS,842,2012
QU'APPELLE CARE HOME,,8364.16,2014
ANGELL ASSESSORS LIMITED,SMALL BUSINESS,2633,2012
TAVERHAM HIGH SCHOOL,NOT DEFINED,2300,2014
BRUTON KNOWLES LIMITED,NOT DEFINED,129800,2013
UFFICIO LIMITED,SMALL BUSINESS,1095,2011
ACTIVATE CAMPS LIMITED,SMALL BUSINESS,4000,2013
GEM CARE 6 LIMITED,NOT DEFINED,17138.58,2013
JOSEPH HOUSE (REEDHAM) LIMITED,SMALL BUSINESS,2280122.48,2011
NORFOLK WILDLIFE SERVICES LIMITED,MEDIUM / LARGE,12100,2011
VISITNORWICH LIMITED,MEDIUM / LARGE,17950,2013
OTIS LIMITED,MEDIUM / LARGE,19567.6,2012
AMR MECHANICAL SERVICES LTD,NOT DEFINED,7162,2013
AMORE (WATTON) LIMITED,MEDIUM / LARGE,754461.28,2012
CORE FINANCIAL LLP,SMALL BUSINESS,67122.4,2013
SHEARD (UK) LLP,NOT DEFINED,25108,2014
RICARDO-AEA LIMITED,NOT DEFINED,133112,2013
THE RYES COLLEGE LIMITED,SMALL BUSINESS,1069152.92,2012
MILLAR WEST LIMITED,SMALL BUSINESS,102027.42,2011
FIRST CAPITAL CONNECT LIMITED,MEDIUM / LARGE,1950.4,2014
IMALGO LIMITED,SMALL BUSINESS,850798.840000003,2012
ABACUS CARE (NORFOLK & SUFFOLK) LIMITED,,50052.74,2013
NORTH NORFOLK DISTRICT COUNCIL,,836,2012
RIG EQUIPMENT LIMITED,SMALL BUSINESS,13734.08,2014
SAXLINGHAM HALL NURSING HOME LIMITED,SMALL BUSINESS,80340.38,2014
CITYSPRINT (UK) LIMITED,MEDIUM / LARGE,43118.56,2012
GORLESTON CCTV LIMITED,SMALL BUSINESS,10000,2012
TIGER HIRE LIMITED,NOT DEFINED,73755.78,2013
SYSTEM SOLUTIONS (NORWICH) LTD,SMALL BUSINESS,43542,2011
THE RURAL SERVICES PARTNERSHIP LIMITED,SMALL BUSINESS,1040,2011
CONSTRUCTION TRAINING SPECIALISTS LIMITED,SMALL BUSINESS,197434.46,2012
D.C. LEISURE MANAGEMENT LIMITED,MEDIUM / LARGE,280,2013
OPEN DOORS MEDIA LIMITED,SMALL BUSINESS,2600,2012
ADAS UK LIMITED,MEDIUM / LARGE,42407.66,2012
TRAC 2000 LIMITED,SMALL BUSINESS,10000,2013
ST. GILES HOMES LIMITED,SMALL BUSINESS,8144.88,2012
THE ASSESSMENT NETWORK LIMITED,SMALL BUSINESS,7800,2011
REDACTED BY SPEND NETWORK,,108171.04,2012
2 AND FRO TAXIS LIMITED,NOT DEFINED,135324.16,2013
ENGLISH BROTHERS LIMITED,SMALL BUSINESS,9557.6,2011
INDEPENDENCE MATTERS LTD,NOT DEFINED,1904440.26,2013
MIG ANGLIA LIMITED,SMALL BUSINESS,53067,2011
IMPERIAL CARE HOMES LIMITED,SMALL BUSINESS,31612.8,2013
SORPTION WHEEL SERVICES LIMITED,SMALL BUSINESS,10984,2013
DONYLAND LODGE,EDUCATION,330000,2012
THE POINT (UK) LIMITED,SMALL BUSINESS,5210,2012
EUROFINS PRODUCT TESTING SERVICES LIMITED,MEDIUM / LARGE,11493,2012
PALOMA SYSTEMS LIMITED,SMALL BUSINESS,6850,2012
DEVAGLADE LIMITED,MEDIUM / LARGE,699614.839999999,2014
N.V.C.S. LTD.,SMALL BUSINESS,9748.92,2011
MOMENTUM (NORFOLK),CHARITY,238560,2012
WESTWARD CARE HOMES LIMITED,SMALL BUSINESS,2519286.42,2011
BUTLER FUELS LIMITED,NOT DEFINED,2532.28,2013
W S LUSHER & SON LIMITED,SMALL BUSINESS,158571.7,2012
LONGWATER CONSTRUCTION SUPPLIES LIMITED,SMALL BUSINESS,2963.98,2013
PAUL CROSS TRAVEL LTD,SMALL BUSINESS,78776.1,2012
SITEIMPROVE LIMITED,MEDIUM / LARGE,4005.88,2012
NELSON MEDICAL PRACTICE,,2923.44,2014
ANACO AIR CONDITIONING LIMITED,SMALL BUSINESS,1224,2014
FARRANS (CONSTRUCTION) LIMITED,NOT DEFINED,10992869.58,2011
BRICKMAKERS ARMS PUBLIC HOUSE LIMITED,SMALL BUSINESS,2000,2012
NEMESIS ADMIN SERVICES LTD,NOT DEFINED,4296,2011
UR CHOICE CARE LTD,NOT DEFINED,78889,2014
GODSTONE DECORATORS LIMITED,SMALL BUSINESS,19400,2013
BRAINTREE HEALTHCARE LIMITED,SMALL BUSINESS,53651.2,2014
LG TAXIS (CROMER) LTD,SMALL BUSINESS,36912,2011
JJM MATTHEWS & CO LTD,SMALL BUSINESS,4440,2012
PEOPLE 2 KEEP LIMITED,SMALL BUSINESS,29905,2014
FBC MANBY BOWDLER LLP,MEDIUM / LARGE,1800,2012
ENERGY AND SYSTEM TECHNICAL LIMITED,SMALL BUSINESS,1700,2012
AXIS EDUCATION LIMITED,SMALL BUSINESS,2217.5,2012
ABBEVILLE RCH LIMITED,SMALL BUSINESS,632272.020000003,2012
THE DELL CARE HOME LIMITED,,50773.72,2011
WEST SUFFOLK COLLEGE,EDUCATION,30000,2011
NORTH NORFOLK BUSINESS FORUM COMMUNITY INTEREST COMPANY,SMALL BUSINESS,53782.86,2012
SALEC TRAVEL LTD,SMALL BUSINESS,78073.5,2012
"THE LIMES, 41 AMPTHILL ROAD MANAGEMENT CO. LIMITED",SMALL BUSINESS,84836.72,2012
TRIBE 160 LIMITED,,30100,2011
SAGE CARE HOMES (WILLOWBANK) LIMITED,SMALL BUSINESS,22792,2012
NEWS DIRECT (NORFOLK) LIMITED,SMALL BUSINESS,1149.2,2012
N.W. TEXTILES LIMITED,SMALL BUSINESS,139493.04,2012
LONES (UK) LIMITED,SMALL BUSINESS,1139.74,2013
PACE FUELCARE LIMITED,MEDIUM / LARGE,146990.26,2014
PRESERVATION EQUIPMENT LIMITED,SMALL BUSINESS,13399.46,2012
LONGWATER (GRAVEL) COMPANY LIMITED(THE),SMALL BUSINESS,75718.02,2014
FLORENCE HOUSE,,636678.920000001,2013
GRANT THORNTON UK LLP,MEDIUM / LARGE,26700,2014
L GARRETT LTD,NOT DEFINED,768025.499999999,2011
BANK HOUSE HOTEL LIMITED,SMALL BUSINESS,941.68,2011
USB FLASH DRIVE LIMITED,NOT DEFINED,1576,2013
THERAPY BOX LIMITED,SMALL BUSINESS,3640,2011
SWALLOWTAIL PRINT LIMITED,NOT DEFINED,5974,2011
BARNWELL PRINT LIMITED,SMALL BUSINESS,3694.4,2012
AL'S CABS LIMITED,SMALL BUSINESS,39896,2014
ORWELL TRUCKS LIMITED,MEDIUM / LARGE,76097.52,2012
JANITH HOMES LIMITED,SMALL BUSINESS,469731.42,2013
VISTA CONSULTING TEAM LIMITED,SMALL BUSINESS,9378.06,2011
NATIONWIDE DATA COLLECTION LIMITED,SMALL BUSINESS,5910,2013
PRI-MED GROUP LIMITED,MEDIUM / LARGE,615475.72,2011
STONE COMPUTERS LIMITED,MEDIUM / LARGE,368504.5,2014
ROUTESPEK COACH HIRE LIMITED,SMALL BUSINESS,106153.08,2011
EXEGESIS SPATIAL DATA MANAGEMENT LTD.,SMALL BUSINESS,4304,2013
ANGLIA FREIGHT LIMITED,SMALL BUSINESS,71812.5,2011
PSYCHOLOGY ASSOCIATES LIMITED,SMALL BUSINESS,15377.18,2011
CHERWOOD ENTERPRISES LIMITED,SMALL BUSINESS,1887.62,2012
AFA PROJECT MANAGEMENT LIMITED,SMALL BUSINESS,8022,2011
CARE PROVISION HEALTHCARE LIMITED,SMALL BUSINESS,37154.88,2013
AUSTHORPE CARE HOME LIMITED,SMALL BUSINESS,402640.599999999,2011
SUSSEX EDUCARE LIMITED,MEDIUM / LARGE,430000.02,2012
WYBOSTON LAKES LIMITED,MEDIUM / LARGE,4392,2012
PROVINCE BUILDING SERVICES LTD,SMALL BUSINESS,58035.98,2014
QUEST ASSOCIATES LIMITED,MEDIUM / LARGE,4750,2013
MARKOV LTD,SMALL BUSINESS,11297.04,2011
ASHLONG HOUSE LIMITED,MEDIUM / LARGE,90000,2012
LONDON & WEST INVESTMENTS LIMITED,MEDIUM / LARGE,916010.080000001,2012
COUNTRYWIDE GROUNDS MAINTENANCE LIMITED,MEDIUM / LARGE,7442,2011
ALLIED VEHICLES LIMITED,MEDIUM / LARGE,7790,2011
BRITISH THORNTON ESF LIMITED,MEDIUM / LARGE,3425.26,2014
BURGH HOUSE RESIDENTIAL CARE HOME LIMITED,SMALL BUSINESS,626791.440000002,2012
PURE LETTINGS LIMITED,SMALL BUSINESS,2875,2012
ASM (ACCESSORIES) LIMITED,SMALL BUSINESS,2791.12,2012
C.I.A. TRAINING LIMITED,SMALL BUSINESS,1365,2012
THE BEECHES UK LIMITED,SMALL BUSINESS,259276.06,2012
QUICKPRINT NORWICH LIMITED,SMALL BUSINESS,9180,2011
GREENLAND HOUCHEN POMEROY LIMITED,NOT DEFINED,2000,2011
OLIVE HOUSE RCH LTD,SMALL BUSINESS,152427.66,2013
S V HARVEY & SON LTD,SMALL BUSINESS,62193.68,2011
E-TRANSLATION SERVICES LTD,SMALL BUSINESS,12727.82,2011
QUOTRONICS LTD,MEDIUM / LARGE,17130,2012
COOLSPIRIT LIMITED,SMALL BUSINESS,1428.78,2014
LAKESHORE HEALTHCARE LIMITED,SMALL BUSINESS,584703.279999999,2011
ZEUS PACKAGING (UK) LIMITED,MEDIUM / LARGE,1077.12,2011
BERTRAMS LOCUM LIMITED,NOT DEFINED,135079.94,2011
BRIDGE PARTNERS CONSULTING LTD,NOT DEFINED,35030,2013
NEWTAX LIMITED,SMALL BUSINESS,3080,2012
YELL LIMITED,,1980,2012
VERMA CARE LIMITED,MEDIUM / LARGE,387390.86,2011
MIKE BRADSHAW & COMPANY LIMITED,SMALL BUSINESS,17575.2,2013
URS CORPORATION GROUP LIMITED,MEDIUM / LARGE,44163.6,2012
LYNN CARPET CENTRE LIMITED,NOT DEFINED,7266.66,2012
GILL RILEY EDUCATIONAL ADVICE AND TRAINING LIMITED,SMALL BUSINESS,16827.6,2013
ANDREW FREDERICK CARE LIMITED,MEDIUM / LARGE,1400345.98,2014
HAVAS PEOPLE LIMITED,MEDIUM / LARGE,172868.04,2013
GSL DARDAN LIMITED,MEDIUM / LARGE,24211.98,2012
CLOVER CHILDCARE SERVICES LIMITED,SMALL BUSINESS,238902.56,2014
BT GROUP PLC,MEDIUM / LARGE,1797836.66,2012
GREAT YARMOUTH RACECOURSE LIMITED,MEDIUM / LARGE,12246.44,2012
MISCO COMPUTER SUPPLIES LIMITED,NOT DEFINED,132055.86,2014
GLAZEWING LIMITED,MEDIUM / LARGE,4190.88,2013
SSAF WINDOW FILMS LIMITED,SMALL BUSINESS,1037.4,2013
GLOBAL MEDIA CORPORATION LIMITED,SMALL BUSINESS,2060,2011
ATTOBUS LIMITED,NOT DEFINED,4050,2013
KEVIN O'BRIEN DRIVER TRAINING LTD,SMALL BUSINESS,6960,2013
ROMA MEDICAL AIDS LIMITED,MEDIUM / LARGE,9236.4,2012
NOTOSH LIMITED,SMALL BUSINESS,5000,2011
P BOWYER ASSOCIATES LIMITED,MEDIUM / LARGE,62721.08,2012
HOWARTH OF LONDON LIMITED,SMALL BUSINESS,43130,2011
ERGO COMPUTING UK LIMITED,MEDIUM / LARGE,86176,2013
SOUTHERN CROSS HEALTHCARE SERVICES LIMITED,MEDIUM / LARGE,23173.16,2011
BOUNDARY HOUSE BUSINESS CENTRE LIMITED,SMALL BUSINESS,575930.739999999,2013
FAST CORPORATE SERVICES LTD,,38660,2011
T.W. ENGINEERING COMPANY LIMITED,SMALL BUSINESS,3690,2014
BRINGHIGH LIMITED,SMALL BUSINESS,3069.48,2011
DOTTED EYES LIMITED,SMALL BUSINESS,437.38,2014
STATION TAXIS (WYMONDHAM) LTD,SMALL BUSINESS,120552.96,2012
ACCESS POINT LTD,SMALL BUSINESS,8430.76,2013
THOMAS EGGAR LLP,MEDIUM / LARGE,110,2014
ESSEX ECOLOGY SERVICES LIMITED,MEDIUM / LARGE,1760,2011
SALT UNION LIMITED,MEDIUM / LARGE,2516705.02000001,2012
KENT MOBILITY LIMITED,SMALL BUSINESS,7519.68,2012
ANGUS FIRE LIMITED,NOT DEFINED,27610.8,2013
L.R. WYARD-SCOTT LIMITED,SMALL BUSINESS,11417.94,2011
LAN SYNERGY EAST LTD,SMALL BUSINESS,6760.86,2012
ACORN BUILDING SERVICES NORFOLK LTD,SMALL BUSINESS,86719.38,2011
IP PROTECTION LIMITED,SMALL BUSINESS,1920,2011
ADVANCED BUSINESS SOFTWARE AND SOLUTIONS LIMITED,MEDIUM / LARGE,52004,2014
MARIO ANTHONY LIMITED,SMALL BUSINESS,6500,2013
ARMSCARE LIMITED,SMALL BUSINESS,259202.2,2013
ASTON TRAINING LIMITED,SMALL BUSINESS,5568.4,2012
A F HOWLAND ASSOCIATES LIMITED,SMALL BUSINESS,8763,2012
VEOLIA ES CLEANAWAY (UK) LIMITED,NOT DEFINED,39626.86,2014
4 TRAINING & CONSULTANCY LTD,SMALL BUSINESS,11301.82,2013
PJD LANDFILL SERVICES LIMITED,SMALL BUSINESS,67905.32,2011
THE ANCHORAGE (2 TREVOSE AVENUE) MANAGEMENT LIMITED,NOT DEFINED,32020.96,2012
CATTON PRINT LIMITED,SMALL BUSINESS,1342,2013
MCR SYSTEMS  LIMITED,SMALL BUSINESS,9309,2011
A.H. CORPORATE FINANCE LIMITED,SMALL BUSINESS,1682.9,2012
ENVIROLOGICA LIMITED,SMALL BUSINESS,6780,2012
DELPH HOUSE FARM LIMITED,SMALL BUSINESS,237644.580000001,2012
ESSEX AND SUFFOLK WATER LIMITED,MEDIUM / LARGE,19246.38,2012
WL PROPERTY LIMITED,MEDIUM / LARGE,980248,2012
BLOOM CONSTRUCTION LTD,MEDIUM / LARGE,152638.76,2011
ASHDENE SLEAFORD LIMITED,SMALL BUSINESS,47320,2012
THE NORWICH STEINER SCHOOL ASSOCIATION LIMITED,NOT DEFINED,4162.5,2011
ENVIROCO LIMITED,MEDIUM / LARGE,165771.8,2011
RANDELL'S BUTCHERS LIMITED,SMALL BUSINESS,76.3,2014
SUFFOLK RADIATION TECHNICAL SERVICES LIMITED,SMALL BUSINESS,1546,2011
PEOPLEMOVERS (EAST ANGLIA) LIMITED,SMALL BUSINESS,441722,2012
PINSENT MASONS LLP,MEDIUM / LARGE,836559.2,2013
DARREN LEADER STUDIO LTD,SMALL BUSINESS,5370,2012
SIGNS EXPRESS LIMITED,SMALL BUSINESS,3092.78,2013
BUILDING SERVICES (EASTON) LIMITED,SMALL BUSINESS,80822.66,2011
LANCASHIRE COUNTY COUNCIL,,1090,2011
DRAPER & NICHOLS LIMITED,SMALL BUSINESS,2010726,2011
ASPIRES LIMITED,SMALL BUSINESS,184792.2,2011
HASSINGHAM LIMITED,MEDIUM / LARGE,409066.38,2014
PILGRIM HOMES TRADING LTD,MEDIUM / LARGE,4063.36,2011
CILEX INSULATIONS LIMITED,SMALL BUSINESS,5179.9,2014
ANDREW FREDERICK ADULT SUPPORT LIMITED,NOT DEFINED,329808.56,2014
ADT FIRE AND SECURITY PLC,MEDIUM / LARGE,21403.7,2012
GEMINI CARE LIMITED,SMALL BUSINESS,612704.639999998,2014
JAMIE GOOCH LIMITED,SMALL BUSINESS,9416.68,2013
ST EDMUNDS RESIDENTIAL HOME,,21300.16,2012
BRITISH COUNCIL(THE),NOT DEFINED,189.96,2014
INDEPENDENT BUSINESS SERVICES LIMITED,SMALL BUSINESS,5620,2011
ANGLIA LOCKSMITHS & SAFE ENGINEERS LIMITED,SMALL BUSINESS,929.44,2011
ALLBATTERIES U.K. LIMITED,MEDIUM / LARGE,3120,2012
ONE AGENCY LTD,NOT DEFINED,57890,2013
THOMPSON FRICTION WELDING LIMITED,MEDIUM / LARGE,46582,2011
GREENFIELDS ADOLESCENT DEVELOPMENT LIMITED,MEDIUM / LARGE,38000,2014
BUDDI LIMITED,SMALL BUSINESS,35040,2011
FIBREGRID LIMITED,MEDIUM / LARGE,8216,2013
STERLING CAR HIRE (UK) LIMITED,NOT DEFINED,123950.64,2014
INDEPENDENCE WITH CARE LTD,SMALL BUSINESS,983696.3,2012
FLAGSHIP HOUSING GROUP LIMITED,NOT DEFINED,974592.720000003,2011
R.S.G. ENGINEERING LIMITED,SMALL BUSINESS,1119.2,2014
KEYS CHILD CARE LIMITED,MEDIUM / LARGE,1113421.62,2012
NORWICH CITY FOOTBALL CLUB PLC,MEDIUM / LARGE,3568.72,2014
SPRATT'S COACHES (EAST ANGLIAN & CONTINENTAL) LIMITED,SMALL BUSINESS,233272,2011
COMPETENT CONSULTANTS LTD,SMALL BUSINESS,6840,2011
HORTON ESTABLISHMENTS LTD,SMALL BUSINESS,253332,2012
BEN'S SOCIAL ENTERPRISES LTD,MEDIUM / LARGE,1007.2,2011
GREAT YARMOUTH & WAVENEY MIND,MEDIUM / LARGE,236314.12,2012
BEESHAW CARE LIMITED,SMALL BUSINESS,82674.88,2013
PETERS LIMITED,MEDIUM / LARGE,183930.16,2012
SPINDLE PRODUCTIONS LTD,NOT DEFINED,3728,2013
NEWSON SWIMMING POOLS LIMITED,SMALL BUSINESS,2224.86,2013
TUDORS BUILDING SUPPLIES (HEREFORD) LIMITED,SMALL BUSINESS,44561.52,2011
WHICH? LIMITED,MEDIUM / LARGE,6750,2013
COLIN DAWSON WINDOWS LIMITED,SMALL BUSINESS,103832,2013
CROSSROADS ASSOCIATION,MEDIUM / LARGE,97531.5,2012
SOLUTIONS 2 ENTERPRISE LTD,SMALL BUSINESS,59000,2011
J.S. HAY LIMITED,MEDIUM / LARGE,51222,2011
N.D.TECHNOLOGY LIMITED,SMALL BUSINESS,1440,2013
CONTRAST SERVICES (UK) LIMITED,NOT DEFINED,1933.18,2013
COUNTRY COURT CARE LIMITED,SMALL BUSINESS,96889.32,2014
NORWICH DOOR TO DOOR LIMITED,NOT DEFINED,95353.64,2014
T.GILL & SON(NORWICH)LIMITED,SMALL BUSINESS,145283.14,2013
KAPLAN PUBLISHING LIMITED,MEDIUM / LARGE,30525.32,2013
J.K. BROCK BUILDERS (DEREHAM) LIMITED,SMALL BUSINESS,289109.6,2012
OCEAN MEDIA GROUP LIMITED,MEDIUM / LARGE,1200,2013
INTEGRATED SERVICES PROGRAMME,MEDIUM / LARGE,75000,2012
BRECKLAND TAXIS LIMITED,SMALL BUSINESS,126560.2,2011
BROOKFIELD CARE HOME LIMITED,SMALL BUSINESS,10320,2013
FUSION HAIR CONSULTANTS LIMITED,SMALL BUSINESS,1080,2012
J.H. AND P.E. NICHOLSON LIMITED,MEDIUM / LARGE,220968,2012
AMEY LG LIMITED,MEDIUM / LARGE,29469.52,2011
HIBU (UK) LIMITED,MEDIUM / LARGE,880,2014
DOCUMATION SOFTWARE LIMITED,SMALL BUSINESS,57759.4,2013
GARDEN GUARDIAN LIMITED,SMALL BUSINESS,3124.94,2014
POLYPRINT MAILING FILMS LIMITED,MEDIUM / LARGE,9278,2012
ASSIST TRUST,MEDIUM / LARGE,281138.739999999,2014
T B L CONCRETE LIMITED,SMALL BUSINESS,1146.92,2014
WATERSTONES BOOKSELLERS LIMITED,MEDIUM / LARGE,52265,2012
DYNATEST U.K. LIMITED,SMALL BUSINESS,4166.56,2012
ARRIVE IN STYLE CARS LIMITED,SMALL BUSINESS,32727.52,2014
PARLIAMENT COMMUNICATIONS LIMITED,SMALL BUSINESS,8250,2012
CLARENCE LODGE (GREAT YARMOUTH) LIMITED,SMALL BUSINESS,236851.840000001,2014
CORNWALL CARE LIMITED,CHARITY,45822.86,2012
M.E. AYRES & SONS LIMITED,SMALL BUSINESS,3750,2012
REDTRONIC LIMITED,SMALL BUSINESS,1990,2011
CARE UK LIMITED,MEDIUM / LARGE,857518.9,2014
THE NATIONAL SOCIETY FOR EPILEPSY,CHARITY,36171.52,2014
MANAGED CLEANING SERVICES LTD,NOT DEFINED,20646.9,2013
E BURTON SERVICES LIMITED,NOT DEFINED,4451.8,2013
THE KEY SUPPORT SERVICES LIMITED,NOT DEFINED,130290,2014
CORALCARE LTD,NOT DEFINED,466255.16,2013
BROADLANDS,,238988.88,2012
HUGH SYMONS GROUP LIMITED,MEDIUM / LARGE,378122.9,2013
PAREX LTD,MEDIUM / LARGE,2525,2012
N.D. BROWN LIMITED,MEDIUM / LARGE,875608.779999999,2012
ADDICTION RECOVERY CENTRES LIMITED,SMALL BUSINESS,45022.86,2013
HAART AGENCIES LIMITED,NOT DEFINED,3000,2012
COMM-TECH VOICE & DATA LIMITED,SMALL BUSINESS,8946.38,2014
CARE & INDEPENDENCE SYSTEMS LIMITED,SMALL BUSINESS,26642.4,2012
OCS GROUP UK LIMITED,MEDIUM / LARGE,2939.34,2012
CARING IN CARE LIMITED,SMALL BUSINESS,84480,2011
ASCL LIMITED,SMALL BUSINESS,53180,2012
MICHELMORES LLP,MEDIUM / LARGE,1150,2011
VODAFONE CORPORATE LIMITED,NOT DEFINED,945538.859999999,2013
MEADOWBLUE LIMITED,SMALL BUSINESS,267448.880000001,2013
INCLUSIVE TECHNOLOGY LIMITED,MEDIUM / LARGE,14907.88,2014
SCOT GROUP LIMITED,MEDIUM / LARGE,1179.54,2012
WALTON DESIGNS LIMITED,SMALL BUSINESS,3600,2013
DISABILITY RIGHTS ENTERPRISES LIMITED,MEDIUM / LARGE,1190,2012
THE WINDMILL SPECIAL NEEDS CO LIMITED,SMALL BUSINESS,1310,2012
CLARITY 11 LTD,NOT DEFINED,2990,2011
HEYWOODS GRANGE,,384851.54,2012
LIMPET PROPERTIES LIMITED,SMALL BUSINESS,1595.18,2012
VERSACARE LIMITED,SMALL BUSINESS,22240,2012
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,MEDIUM / LARGE,108075.46,2012
SUNNYCROFT CARE HOME,,986623.820000003,2011
PHOENIX MONTESSORI NURSERY (WEST NORFOLK) LIMITED,SMALL BUSINESS,16000,2013
HAYES COMPUTING SOLUTIONS LIMITED,SMALL BUSINESS,16180,2011
WHITE HORSE INN ACCOMMODATION LIMITED,,12361.6,2013
SIEMENS FINANCIAL SERVICES LIMITED,MEDIUM / LARGE,598786.3,2012
BIGFORK LIMITED,SMALL BUSINESS,9108,2014
H. SMITH & SONS (HONINGHAM) LIMITED,SMALL BUSINESS,454915.22,2011
LYON EQUIPMENT LIMITED,MEDIUM / LARGE,1196,2011
BABYLAND NORWICH LIMITED,MEDIUM / LARGE,16670.5,2013
HARAMBEE TRAINING LIMITED,SMALL BUSINESS,1500,2012
FREDERICK HYDE LIMITED,SMALL BUSINESS,1316.6,2011
COMMERCIAL BODY FITTINGS LIMITED,MEDIUM / LARGE,958.28,2012
FIREFIGHTER PROTECTION UK LIMITED,SMALL BUSINESS,12450,2011
WESTHOLME LIMITED,MEDIUM / LARGE,12671.04,2013
EACH AMAZING BREATH COMMUNITY INTEREST COMPANY,,71000,2014
CITY OF BATH COLLEGE,EDUCATION,1090,2011
J.C. RATHBONE ASSOCIATES LIMITED,MEDIUM / LARGE,20000,2013
NORWICH ARTS CENTRE LIMITED,MEDIUM / LARGE,36800,2012
FARM BITS DIRECT LIMITED,SMALL BUSINESS,8447.44,2011
R. WRIGHT ACCOUNTANCY SERVICES LIMITED,NOT DEFINED,44614.28,2013
HILTON COMMUNITY SERVICES LIMITED,SMALL BUSINESS,4706077.9,2011
NORFOLK CARE LIMITED,SMALL BUSINESS,776225.359999999,2012
ANGLIA PRINT LIMITED,SMALL BUSINESS,1656,2011
HALLS PROPERTY SERVICES LTD,SMALL BUSINESS,23529.34,2012
YARMOUTH STEEL SERVICES LIMITED,NOT DEFINED,4902,2011
BRITTON PRICE LIMITED,MEDIUM / LARGE,3300,2011
CYGNET CARE LIMITED,SMALL BUSINESS,253786.44,2013
CARING HOMES HEALTHCARE GROUP LIMITED,MEDIUM / LARGE,325192.14,2012
PARKWOOD LEISURE LIMITED,MEDIUM / LARGE,141948,2012
JOHNSON CONTROLS LIMITED,MEDIUM / LARGE,2548.72,2014
THE WINDMILL CARE HOME,,234414.080000001,2014
INFORMA UK LIMITED,MEDIUM / LARGE,2618,2011
BQZEEN LIMITED,SMALL BUSINESS,11121.74,2012
HOLLY CARE LIMITED,SMALL BUSINESS,94036.48,2014
SMITH BUILDING SERVICES LIMITED,SMALL BUSINESS,31740.38,2013
ABBEY MEMORIALS (STONECRAFT) LIMITED,SMALL BUSINESS,1200,2011
FAIRPORT CARE SERVICES LIMITED,SMALL BUSINESS,186008,2013
