category,total_spend,YYYY
Landfill Leachate Costs,928681.840000001,2011
Care Leavers-Education/Training,17618.04,2011
Care Leavers Personal Allowance/Support,18051.94,2013
Tree Planting/Landscaping,17021.12,2011
Printing Stationery and Photocopying,1559374.18,2012
Bmf Fire Alarms,196824.9,2013
Treasury-Leasing,4976,2014
Professional Fees Building Maintenance,338989.26,2012
Buildings Fixtures & Fittings,120258.38,2011
DVD'S,116758.88,2011
Subscriptions To Other Libraries,17579.82,2013
M&E Other (Schools),2245758.02,2014
Conservation Material,5111.12,2013
Equipment Leasing Costs,162808.9,2011
Library Books - Junior Non Fiction,69152.7,2013
Site Supervision,12420.74,2012
Contract Plant & Machinery Hire,1915555.66,2014
Agency Staff - Cleaner/Domestic,66,2012
Video Recordings,2100,2014
Site Works - Land,960,2011
Highway Gulley Emptying,355893.88,2014
Spoken Word Cassettes,40967.84,2014
Medical Expenses/NHS Charges,2600,2011
Apportionment of Buildings Costs,113.32,2011
Vehicle Abuse/Wear & Tear Costs,81074.06,2012
Highway Landscape Maintenance,7350,2014
Remote Control Apparatus,56785.24,2011
Laboratory Testing -Pre Works,1331.52,2014
Specialised Equipment Service Contract,13967.96,2011
Supported Living,27056000.6599994,2013
Home To School Transport Contract Service,433896.84,2011
Disturbance Payment,19842.8,2011
Assistive Technology Equipment,132748.78,2011
Paid School Meals Payments,1086934.1,2012
Purchase Of IT,3008608.1,2014
Standard Fund Supply Teachers,6217.1,2014
Community Based Assessments,31539.22,2012
(no data),319706173.06001,2014
Construction Costs - New Buildings,13435.48,2013
Interest Paid on External Loans,1045000,2013
Catering Staff,6186.26,2011
Internal Recharge Verges Hedges Trees,1598,2011
Purchase Of Major Software,50336.14,2012
Medical Requisites & Drugs Etc,17992.54,2012
Bmf Boiler Servicing,662110.880000001,2013
Boiler & Heating Repl M&E,20000,2011
Library Books - Junior Fiction,162450.4,2013
Construction Costs - Roads - HOPS,392875.84,2011
Agency Staff - Admin & Clerical - Scale A to J,442299.139999999,2011
Consultants Fees and Charges,621657.4,2013
Highway Kerb Footway and Cycleway Repairs,279595.4,2012
Agency Staff - Home Care Assistants,26474.7,2012
Temporary Staff Admin & Clerical,151853.96,2014
Tyres,25818.26,2011
Casual Labour,64908.2,2011
Third Party Claims - Excess,11474.36,2011
Information Leaflets,12988.32,2011
Building Maintenance & Repairs,1929341.18,2011
Placement Cost - Agency Fee,616286.64,2014
Fixed Price Vehicle Maintenance,368926.42,2013
Library Books-Standing Orders,41939.7,2012
Highway Surveys B Roads,25839.4,2013
Day Care / Supported Activities,5922767.66,2012
Short-term Vehicle Hire,86131.0600000001,2012
Postage & Postal Services,121064.64,2014
Arts Grants,244764.86,2011
May Gurney Admin Staff,20693.66,2011
Highway Lighting Repairs,37209.56,2013
Operational Staff - Scale K and Above,8191.36,2014
Catering Supplies,47575.58,2011
Loans To Outside Bodies,1100000,2012
Mobile Phone Call Charges,2953.24,2011
Purchase Of Equipment,2216507.88,2013
Construction - Enabling Works,604799.5,2014
Highway Traffic Signals and Systems Upgrade Works,209023.84,2011
Highway Road Sign Maintenance,86156.98,2011
Bmpp Repair & Replacement Of Light,1719.8,2014
Photocopying - General,129885.2,2011
Equipment Purchases,2297000.46,2013
Services of Solicitors Agents,67764.44,2014
Day Care / Supported Activities,6263389.04000034,2011
Short-term Vehicle Hire,140424.36,2011
Alterations To Service - Sewerage,1576.5,2014
Library Books-Standing Orders,39744.78,2011
Architects Charges (NPS),86666.76,2011
ICT System Improvements,5559539.4,2014
Workshop Personal -Transport Duties,50968.5,2013
Sundry Purchases,19311.08,2013
Actuarial Fees- Actuarial,142520,2014
Management Fees - General,9941258.32,2013
Highway Winter Vehicle Charges,31914.24,2014
Building Maintenance & Repairs,2474877.68,2012
Certificate - Environment Control Systems,42600.76,2013
Bmpp School Equipment Inspection/Test,35343.46,2012
School Transport Taxi,2926,2011
Highway Grass Cutting,1111252.24,2013
Site Works Buildings,11700,2013
Casual Labour,6830.82,2012
Highway Traffic Signals and Systems Upgrade Works,1496234.14,2012
Refuse Collection Costs,32498.82,2013
Highway Road Sign Maintenance,78211.0199999999,2012
Personal Protective Equipment,3131.4,2011
Rehabilitative Services,4645.58,2011
Library Books - Large Print,238467.36,2013
Catering Supplies,36664.88,2012
Internal Recharge Drainage,2746.64,2011
Standard Fund Other Staff,63862.98,2011
Insurance Premiums Paid -External,2885506.68,2014
Learning Resources Purchases,26017.9,2013
Highway Verge Hedge and Tree Maintenance,6669.38,2013
Paid School Meals Payments,6332367.1,2011
Disturbance Payment,1418,2012
Health Placement,328408.34,2011
Allocation of Contingency Provision,5325.1,2013
Actuarial Fees - Frs17,120430,2014
Agency Staff,433833.2,2011
Vehicle Abuse/Wear & Tear Costs,56840.52,2011
Staff Interview Expenses,4230.94,2013
Apportionment of Buildings Costs,1920,2012
Voluntary Driver Payments,172530.46,2014
Child In Care Residential Education Only,376271.2,2014
Construction Costs - Roads - HOPS,477517.58,2012
CMW M&E Other,48143.9,2014
Highway Patching to Carriageway and Footway,20200.5,2014
Purchase Of Nursing Rehabilitation - Alcohol,5697.84,2011
Grant Payments,3889143.88,2013
Bmpp Building Repairs,541247.959999999,2014
Highway Kerb Footway and Cycleway Repairs,337981.98,2011
Discretionary Added Years & Pension Strain Payments,291627.02,2011
Private Contractor Site Operation Payments,48594613.5999995,2013
Agency Staff - Admin & Clerical - Scale A to J,1064985.72,2012
Accommodation Works/Contract,8531.5,2011
Highway Safety Barriers,83030.52,2014
Part 1 Compensation Claims,128000,2011
Library Books General,12769.98,2013
Contributions To NCC Partnerships & Pooled Funds,123016.66,2012
Catering Staff,1631.46,2012
Boiler & Heating Repl M&E,2304323.7,2012
Bmf Gas Appliances & Repairs Test,27022.38,2014
Tuition Costs Secondary Teacher,4167.6,2011
Medical Requisites & Drugs Etc,16974.76,2011
Purchase Of Major Software,24325.1,2011
Sessional Fees,598960.200000001,2014
Premises Insurance,20602.34,2011
Internal Recharge Schools,74925.26,2011
Gas (LPG) & other Heating Fuels,2613.68,2011
Building / Planning Applications,13781.64,2012
Bmf Asphalting,106116.1,2013
Free School Meals Payments,2580536.08,2012
Child In Care Secure Welfare,2920,2014
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,135786.94,2013
Preliminary Design Fees,41230.54,2013
Road Maintenance Contractor Payments,1755245.44,2013
Local Land Charges Fees,1013.46,2013
Other Hired & Contracted Services,11019863.74,2014
Telephone Rental & Calls,2385477.04,2013
Private Voluntary Independent School Pre-school & Playgroup,7276044.3,2011
Operational Staff - Scale A to J,48646.28,2013
General Repairs,2328.28,2011
Service Level Agreement With Organisations Providing Services to NCC,1529872.82,2014
Staff Advertising Expenses,904.36,2011
"Internal Recharge Environment, Transport & Development",1040,2014
Construction Costs - Roads - Amey,328259.76,2011
Swimming Pool Maintenance,4282.6,2011
Free Nursing Care - High Band,13164.8,2011
"Printing, Stationery and Photocopying",22129.48,2013
Alterations To Service - Other,37812.46,2011
Agency Staff - Social Services Operational-Other1 April,850077.780000001,2013
Foster Care Child In Care Holiday Allowance,2424,2013
Personal Budget - Day Care,539738.38,2011
Property Services Graphics Charges,3320,2011
Pension Basic Payments,168.14,2011
Admin Staff Overtime,6248.76,2011
Staff Subsistence & Conference Expenses,259145.8,2013
Bmpp External Redecoration,87613.12,2014
Bmpp Security Systems,174338.3,2013
Highway Weed spraying,377087.02,2011
Direct Payment - Equipment Purchases,10915,2012
Short Term Care with Nursing,268461.5,2014
Payment Pre School Provider,48202.64,2011
Adoption - Introductory Expenses,792.34,2011
Other Capital,454068.56,2011
Land Agents Fees,4865,2012
Personal Budget - Long Term Residential Care,1836,2012
Permanent Teachers,35453.34,2014
Highway Traffic Signals and Systems Accident Damage,48922.08,2012
Cost of Providing Short Term Breaks,44860.38,2012
Book Stationery,21000,2014
Bmf Fencing,13774.1,2014
Contract Taxi Hire,7433.4,2014
Display Materials,91080.22,2011
School House Maintenance.,2235.2,2013
Highway Drainage Rodding and Jetting,345057.78,2014
Community Safety Projects,3400,2011
Own Disbursements Other,-74853.76,2011
Construction Costs Roads Other,480098.62,2013
Staff Car & Cycle Allowances,4775.9,2013
Delivery Service Charge,22,2011
Bmpp Boiler Servicing,1639962.2,2013
Bmpp Electrical Rewiring,8834.64,2014
Cost of Providing Short Term Breaks,61416.46,2011
Highway Traffic Signals and Systems Accident Damage,50368.96,2011
Training Travel & Subsistence,840,2011
Long Term Residential Care,113412969.46001,2014
Bmf Plant Replacements,948564,2013
Vehicle  Leasing Costs,1958491.08,2013
Personal Budget - Long Term Residential Care,330225.46,2011
General Equipment/Tools/Materials-Purchase,1794,2013
Land Agents Fees,21515.52,2011
Office Library Textbooks,21764.2,2011
Other Capital,128156.58,2012
Direct Payment - Domiciliary Care,297172.94,2013
Private Finance Initiative Payments,27293486.06,2013
Own Disbursements Other,57572.3,2012
Tree Planting/Landscaping Works,38083.84,2013
Payments to Organisations Providing Services To NCC,2455587.36,2013
Grounds Maintenance Costs,308831.64,2014
Transfer or Contribution to Earmarked Reserves,10854.12,2011
Repairs Subject To Insurance Claims,2875.16,2011
Highway Winter Salt Barn Availability Charge under PFI,631688.68,2014
Bmpp Swimming Pool Plant Replacement,4633.54,2013
Contracted Overnight Accommodation,183659.98,2011
Teaching Materials,1200,2011
Construction Costs - Roads,10657560.96,2014
Internal Recharge Patching Cw,4652.4,2011
Highway Surveys U Roads,39407.32,2014
Underspend B/Fwd,131596.86,2011
Enquiry Agents Fees,2776.78,2014
Private Voluntary Independent School Pre-school & Playgroup,11099996.12,2012
Hospitality Expenses,21061.98,2014
Livestock,2392,2011
Building / Planning Applications,2321.26,2011
Gas (LPG) & other Heating Fuels,10860.4,2012
Internal Recharge Schools,50403.88,2012
Handset Unit Charge,857.5,2011
Pension Augmentation,21357.32,2014
Bmf Tank Clean/Water System Disinf,51549.9,2013
Free School Meals Payments,7599273.64,2011
Personal Budget - Day Care,2119242.96000001,2012
Pension Basic Payments,1413.32,2012
Alterations To Service - Other,3783.78,2012
Annual Premiums Received,68345.56,2013
Highway Weed spraying,233364.42,2012
Computer &Ancillary Equipment-Rental/Operating Lease,2536.84,2011
Construction Costs - Roads - Management,22228639.58,2011
Other Indirect Employee Expenses,24883.88,2013
Fire Service Radio Equipment - Purchase,5159.6,2014
Actuarial Fees-Investment,48350,2014
Payments to Voluntary Asociations-Est/Private School,5405.72,2011
Swimming Pool Maintenance,9274.46,2012
Highway Street Lighting Non-Routine Maintenance,1555876.18,2014
Construction Costs - Roads - Amey,34749.78,2012
Short Term Care with Nursing,430207.22,2013
Construction Costs-Mobile Classrooms,2764859.2,2012
Agency Staff - Admin/Chief Officers - Scale K and Above,498112.04,2011
Permanent Teachers,53180.02,2013
Child In Care Agency Fostering,26154854.7399992,2012
Highway Drainage Repairs,220981.18,2011
Non Staff Public Transport Costs,17145250.58,2011
Highway Patching to Carriageway,3648659.1,2012
Contract Taxi Hire,4716,2013
Book Stationery,45065.24,2013
Bmf Fencing,24181.46,2013
Compensation Loss of Office,1505,2013
Highway Drainage Rodding and Jetting,771037.92,2013
Agency Staff - Permanent Teachers,119356.68,2013
School House Maintenance.,7657.32,2014
Agency Staff - Supply Teachers,405499.48,2012
Social Services Operational-Other1 April,99251.3,2011
Certificate - Electricity Power & Light,3108332.06,2011
Other Expenses,335846.08,2012
General Grounds Maintenance,4114.3,2013
Repair & Replacement Of Light Fittings,65806.2,2012
Cost of Sales,121346.2,2011
Surveyors Fees,42310,2011
Consumable Stores,5120.76,2011
Construction Costs Roads Other,2780804.34,2014
Staff Car & Cycle Allowances,3847.78,2014
Fuel - General,4927.9,2011
Creative Activity Equipment & Materials,4599.64,2011
Software Maintenance,340635.24,2011
Sessional Fees,1244150.12,2013
Bmf Electrical & Mechanical Maintenance,29952.7,2012
Books & Publications,836,2012
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,15777.38,2014
Contract Cleaning & Other Cleaning Services,441242.52,2012
Foster Care Child In Care Christmas Allowance,2376,2011
Bmf Asphalting,39914,2014
Other Hired & Contracted Services,21651018.38,2013
Telephone Rental & Calls,1322048.64,2014
Road Maintenance Contractor Payments,1200789.28,2014
Local Land Charges Fees,5101.12,2014
Advertising & Marketing,857.48,2012
Staff Medical & Eyesight Fees,8127.58,2011
Operational Staff - Scale A to J,22200,2014
Farms Improvements Compensation Payments,79524,2012
Service Level Agreement With Organisations Providing Services to NCC,8881366.88,2013
School Academy Payments,2728491.86,2012
Ext Highways - Utilities Trench & Cover Repairs,18346.3,2011
Custody Fees,139465.08,2012
Foster Care Child In Care Holiday Allowance,2174,2014
"Printing, Stationery and Photocopying",812152.1,2014
Mental Health Grant Unallocated Budget,2063.88,2011
Legal Expenses Land,88846.44,2012
Consultants Design Fees,280647.9,2012
Bmpp Security Systems,95517.7600000001,2014
Bmpp External Redecoration,344597.54,2013
Bmf Lifts Maintenance & Repairs,5722.78,2012
Staff Subsistence & Conference Expenses,147826.38,2014
Construction Costs - Roads,61817167.9,2013
Enquiry Agents Fees,22287.84,2013
Highway Surveys U Roads,39073.92,2013
Hospitality Expenses,38415.18,2013
Bmpp Minor Building Repairs,130513.18,2012
Bmf Tank Clean/Water System Disinf,41105.12,2014
A.C.P. Committee Training,4080.72,2011
Foster Care Child In Care Christmas Allowance,60,2012
Contract Cleaning & Other Cleaning Services,2027076.51999999,2011
Books & Publications,6156.44,2011
Printing,143483.08,2011
Legal Expenses Land,40440.64,2011
Annual Premiums Received,56905.52,2014
Other Indirect Employee Expenses,10110.8,2014
Fire Service Radio Equipment - Purchase,33550,2013
Internal Recharge Fencing,1490.72,2011
Consultants Design Fees,18633.5,2011
Road Fund Driving & Operators Licences,5910,2013
Adoption  - Introductory Expenses,1753.08,2011
Actuarial Fees-Investment,79100,2013
Highway Street Lighting Non-Routine Maintenance,328663.72,2013
Ext Highways - Utilities Trench & Cover Repairs,269930.08,2012
Security Costs,8578,2011
School Academy Payments,898221.52,2011
Highway Drainage Repairs,117251.1,2012
Child In Care Agency Fostering,16864835.4200008,2011
Bmpp Boiler Servicing,1009581.73999999,2014
Non Staff Public Transport Costs,21430687.34,2012
Agency Staff - Admin/Chief Officers - Scale K and Above,697081.22,2012
Long Term Residential Care,167976810.679991,2013
Data System Installation Costs,6672584.94,2011
Bmf Plant Replacements,195322.54,2014
Construction Costs-Mobile Classrooms,2311269.5,2011
Direct Payment - Domiciliary Care,2023596.96,2014
Vehicle  Leasing Costs,1482557.2,2014
Other Expenses,210209.32,2011
Tree Planting/Landscaping Works,61400,2014
Certificate - Electricity Power & Light,4003659.68,2012
Social Services Operational-Other1 April,-15505.64,2012
Agency Staff - Supply Teachers,61638.04,2011
Private Finance Initiative Payments,15583939.24,2014
Operational Equipment,39952.64,2011
Grounds Maintenance Costs,372576.66,2013
Payments to Organisations Providing Services To NCC,16183652.68,2014
Repair & Replacement Of Light Fittings,39908.26,2011
Cost of Sales,145349.1,2012
Surveyors Fees,12403,2012
Highway Patching to Carriageway,4971969.14,2011
Educational Local Purchase,8160,2011
Bmpp Swimming Pool Plant Replacement,4468,2014
Participants Subsistence,47861.54,2011
Highway Winter Salt Barn Availability Charge under PFI,864549.000000003,2013
Highway Fencing Repairs,43030.7,2012
Temporary Staff Admin & Clerical,347225.6,2013
Placement Cost - Agency Fee,342149.6,2013
Materials Purchases,5181130.6,2011
Contact Arrangements,53280.08,2012
Highway Structures Maintenance,1458.18,2011
Payment To Other Bodies,5900,2011
Construction-Eci-Highways Operations Payment System,264814.32,2013
Special Guardianship,2468.38,2011
Fixed Price Vehicle Maintenance,340163.26,2014
Other Parties Costs,9036.34,2011
Recharge Passenger Transport Group - Transport Costs,163364,2013
Postage & Postal Services,155288.8,2013
Bmf Electrical Installation Testing,40986.3,2012
Highway Lighting Repairs,134296.4,2014
Operational Staff - Scale K and Above,6728.5,2013
Other Expenditure,6475,2012
Loose Furniture & Fittings-General,44006.62,2011
Council Tax / Business Rates Payments,37123.72,2011
Staff Subsistence & Other Expenses Wb14,87.5,2011
Purchase Of Fixtures & Fittings,18060.14,2011
Carers Funding,4400,2011
Child In Care Residential School 38 Week Out Of Norfolk,52014,2012
Bmpp Repair & Replacement Of Light,2412,2013
Construction - Enabling Works,1598058.8,2013
Purchase Of Equipment,379490.08,2014
Protective Clothing and Uniforms,150833.86,2012
Agency Staff - Operational - Manual,2085142.9,2012
Staff Advertising  Expenses,72405.26,2011
Equipment Purchases,2255355.92,2014
Services of Solicitors Agents,190935.32,2013
Consultants Fees,9128.1,2012
Marketing Design Costs,575396.3,2011
Highway Landscape Maintenance,8371.92,2013
Valuers Fees,171246.06,2011
Non Staff Advertising - Statutory,84580.8,2011
Foster Care Retainer Pay,81494.22,2011
Depreciation Charges (99400),167.3,2011
Bmpp Generators & Repairs Arising,1394,2013
Purchase Of IT,4277096.06,2013
Postage - Other Carriers,2651.3,2011
Supported Living,17434043.2599998,2014
Adaptation/Improvement-Existing Buildings,218618.44,2012
Highway Rechargeable Works Payments,1126204.26,2012
Wireless - Maintenance,34335.42,2011
Bmpp Electrical Installation Testing,130129.14,2012
Transfer To/From Reserve,36000,2013
Direct Payment - One Off Payment To Carers,14578.1,2012
Interest Paid on External Loans,1045000,2014
Bmf Boiler Servicing,365380.360000001,2014
Electricity at Work Regulations Testing/ Repair,3098.84,2011
Child In Care Residential Home In Norfolk,5685130.92,2012
Gas (mains supplied),12752.22,2012
Quality Assurance,16844.28,2011
Library Books - Junior Fiction,60869.86,2014
Initial Fostering Allowance,3480,2011
Salary Support Costs,1300,2011
Highway Bridge Maintenance,2079020.48,2012
Consultants Fees and Charges,215806.52,2014
Agency Staff - Relief Assistant Warden,35789.56,2012
Carers Residential Respite Care,3166.2,2011
Actuarial Fees - Frs17,157360,2013
Adaptation/Improvement-Existing Buildings,1271080.96,2011
Highway Rechargeable Works Payments,1885998.4,2011
Allocation of Contingency Provision,17196,2014
Voluntary Driver Payments,275629.479999999,2013
Non Staff Advertising - Statutory,74884.94,2012
Foster Care Retainer Pay,243346,2012
Staff Interview Expenses,4424.64,2014
Marketing Design Costs,426342.88,2012
Valuers Fees,14149.56,2012
Child In Care Residential Education Only,621692.52,2013
Conservation Grants,19164.14,2011
Highway Patching to Carriageway and Footway,3348,2013
Salary Support Costs,1470,2012
Clients Bus & Rail Passes,142.8,2011
Highway Surveys A Roads,67050.36,2013
CMW M&E Other,80629.36,2013
Gas (mains supplied),3448.5,2011
Private Contractor Site Operation Payments,32412095.14,2014
Agency Staff - Relief Assistant Warden,23570.12,2011
Bmpp Building Repairs,643789.56,2013
Grant Payments,1325765.46,2014
Highway Bridge Maintenance,1984917.86,2011
Agency Staff - Sessional Tutors,732190.1,2013
Contributions To Third Parties,11220,2011
Highway Safety Barriers,148997.06,2013
Direct Payment - One Off Payment To Carers,21142.8,2011
Certificate - Plant Replacement,29124.46,2013
Child In Care Residential Home In Norfolk,3288729.64000001,2011
Bmf Gas Appliances & Repairs Test,39344.44,2013
Provisions General Residential,13484.22,2011
Purchase Of Care - M.I.S.G.,5913.38,2011
Company Searches,1772,2012
Alterations To Service - Sewerage,6200,2013
Actuarial Fees- Actuarial,119610,2013
Meetings Of Foster Parents,5809.96,2011
Stocks - Receipts,6009.52,2014
Sundry Purchases,3986.94,2014
ICT System Improvements,11152594.34,2013
Courier Services,3559.1,2011
Workshop Personal -Transport Duties,17028,2014
Highway Winter Vehicle Charges,32144.2,2013
Management Fees - General,8053259.76,2014
Direct Payment - Supp Families with Disabilities-Dom.Care,6180.04,2014
Highway Fencing Repairs,88667.22,2011
Highway Grass Cutting,122426.4,2014
Highway Structures Maintenance,562515.46,2012
Highway Machine Wet Condition Skidding Survey,57353.54,2011
Materials Purchases,4654052.48000001,2012
Contact Arrangements,2169.66,2011
Certificate - Environment Control Systems,1630.32,2014
Protective Clothing and Uniforms,289976.48,2011
Design Costs Mouchel,212003.94,2014
Refuse Collection Costs,25968.24,2014
Consultants Fees,159059.94,2011
Agency Staff - Operational - Manual,1236073.74,2011
Staff Advertising  Expenses,128258.68,2012
Other Expenditure,37087.2,2011
Library Books - Large Print,3106.88,2014
Security Guards,4977.88,2011
Learning Resources Purchases,30384.6,2014
Planned Balance Carried Forward,300,2012
Highway Verge Hedge and Tree Maintenance,1417.92,2014
Carers Funding,14192.14,2012
Insurance Premiums Paid -External,3224679.72,2013
Maintenance Of Buildings,6240.88,2011
Travel Exps,212.4,2012
Highway Traffic Signals and Systems Outstation Communication Maintenance,420771.16,2013
Tank Clean/Water System Disinfection,296919.02,2011
Cleaning Materials Purchases,41520.9,2012
Compensation & Ex-Gratia Payments,16540,2013
Equipment Purchases For Service Users,4245337.56,2014
Asphalting,132064.58,2012
Rents and Hire of Premises & Facilities,3994423.46,2011
Other Vehicles Running Costs,102149.68,2011
Bmpp Reroofing,19529.14,2012
Fees & Charges,6457110.89999999,2014
Grants,4534,2013
Adoption Allowance Payments,254089.64,2014
Archive Boxes,63553.06,2011
Site Invest/Surveys,62356.86,2012
Pension Fund Deficit Payment,834000,2012
Other (Photos Etc),99774.92,2011
Fuel Oil,157915.38,2013
Actuarial Fees - Gen,177970,2014
Kinship Care Allowance,8910.24,2012
Electrical & Mechanical Maintenance.,445240.62,2011
Purchase of Care - Unspecified,151139.82,2011
Post Adoption Work,2352.9,2011
Admin & Clerical - Scale A to J,278644.86,2012
Bmpp Plant Replacements,51937.52,2012
Highway Winter Ice Prediction Service Charge,109586.58,2011
Fencing,13221.24,2012
Welfare/ Learning Support Assistants,111971.2,2011
Fire Service Feeding At Fires,4196.26,2014
Witnesses Expenses and Reports,252323.58,2012
Bmpp Ashpalting,27165.12,2013
"Equipment Repairs, Maintenance & Servicing",215284.18,2013
Agency Staff - Panel Funded Staff,1535.4,2012
General Disbursements,32733.24,2013
Cost of Licenses & Subscriptions,452587.26,2012
Non Staff Course Conference & Subsistence Expenses,703748.16,2012
Construction-Eci-May Gurney,113072.6,2012
Bmpp Structural Builidng Work,91825.02,2014
Bank Charges,235993.6,2012
Foster Care Child In Care Gifts,3248.26,2011
Highway Road Markings,1589263.7,2012
Information Strategy - Miscellaneous Expenses,938,2011
Awards Or Grants For School Children Students & Learners,137360,2013
Mobile Phone Rentals,827.58,2011
Section 17 Financial Assistance,105247.1,2012
Vehicle Fuel,693118.599999999,2014
Bmf Generators & Repairs Arising,52303.88,2013
Highway Winter Snow Clearing,28867.04,2014
Staff Medical & Eyesight  Fees,503827.16,2012
Computer Equipment Less Than 6000,8312.42,2011
Public Inquiry Costs,5431.6,2011
Equipment Repairs Maintenance & Servicing,1140163.78,2012
Counsel's Fees,1416274.68,2012
Compact Discs,15719.58,2014
Teaching Support,62638.84,2013
Accommodation Works Buildings,104351,2013
Direct Payment - Day Care Services / Supported Activities,14820.62,2014
Engineering Design Fees,2927839.14,2012
Bank Charges,263242.48,2011
Purchase Of Buildings,970000,2014
Drivers,6067.34,2011
Highway Road Markings,1020634.24,2011
Agency Staff - Panel Funded Staff,4757.1,2011
Care Leavers Personal Allowance/Support,764,2014
Witnesses Expenses and Reports,277889.92,2011
Welfare/ Learning Support Assistants,79305.78,2012
Cost of Licenses & Subscriptions,551911.04,2011
Non Staff Course Conference & Subsistence Expenses,666611,2011
Publicity,50402.06,2011
Counsel's Fees,1431780.92,2011
Equipment Repairs Maintenance & Servicing,2734802.34,2011
Subscriptions To Other Libraries,22519.3,2014
Public Inquiry Costs,384865.8,2012
Direct Materials,60686.5,2011
Bmf Fire Alarms,101087.88,2014
Engineering Design Fees,2131627.72,2011
Library Books - Junior Non Fiction,19284.32,2014
M&E Other (Schools),5132405.24,2013
Conservation Material,1763.7,2014
Video Recordings,4000,2013
Contract Plant & Machinery Hire,2949573.41999999,2013
Staff Medical & Eyesight  Fees,393763.16,2011
General Equipment/Tools/Materials-Repairs,14031.7,2011
Spoken Word Cassettes,293034.16,2013
Highway Gulley Emptying,1446664.34,2013
Rents and Hire of Premises & Facilities,2395629.42,2012
Other Vehicles Running Costs,48306.48,2012
Solid Fuel,1537.22,2011
Asphalting,290012.62,2011
Traffic Signals and Systems Accident Damage,7624,2014
Temporary Staff,5520,2011
Library Books - Adult Fiction,428713.6,2013
Highway Emergency Cleansing,28292.8,2013
Small Tools & Plant - Purchase,5800,2011
Room Hire,553.5,2014
Expenses On Behalf Of Clients,1575,2011
Bmpp Electrical & Mechanical Maintenance,245165.62,2014
Agency Staff - Casual Labour,1085.04,2013
Special Guardianship Child In Need,118007.56,2013
Tank Clean/Water System Disinfection,353658.780000004,2012
Advanced Driving Instructor Fees,69560,2011
Grants To Outside Bodies,109160.64,2013
Cleaning Materials Purchases,54470.1,2011
Bmf Reroofing,35809.62,2014
Traffic Signals and Systems Non-Planned Maint.,119341.62,2014
Fencing,35449.62,2011
Highway Traffic Signals and Systems Energy,59881.98,2014
Child In Care Family Unit,525547.3,2011
Other Operational Equipment-Purchase,128408.68,2011
Highway Winter Ice Prediction Service Charge,81751.8,2012
Other (Photos Etc),117410.36,2012
Site Invest/Surveys,357154.66,2011
Pension Fund Deficit Payment,486500,2011
Child In Care Education Costs,1564,2014
General,36130,2011
Newspaper Filming,17946.64,2014
Admin & Clerical - Scale A to J,222937,2011
Building Alterations & Improvements,734866.32,2013
Electrical & Mechanical Maintenance.,287949.88,2012
Purchase of Care - Unspecified,4480,2012
Kinship Care Allowance,4220,2011
Purchase Of Vehicles over 20K,4435086.14,2011
Private Contractor Catering Payments,349391.34,2012
Placement Cost-Medical Fee,34594,2011
Contract Cleaning - Ex Work,5967.6,2011
Homelessness Support Child In Need,22229.44,2014
Other Local Authorities,715940.26,2011
Support Services,126357.66,2012
Internal Recharge Environment Transport & Development,119790.44,2011
Care Leavers Rent & Accommodation,746534.339999999,2014
"Certificate - Electricity, Power & Light",306352.06,2014
Vehicle Repair Costs,99553.78,2011
Personal Budget - Respite Residential Care,371786.44,2011
Internal Redecoration,34322,2011
Highway Illuminated Sign Non-Routine Maintenance,72021.32,2014
Homelessness Section 17,12160.86,2011
Highway Pothole Repairs,210313.24,2011
Estate / Site Management Costs,865264.54,2014
Purchase Of Books,1774.4,2014
Health & Safety At Work Act,969.8,2012
Child In Care Nursing Care Home,184580.32,2011
Admin/ Chief Officers - Scale K and Above,380976.42,2011
Bmpp Swimming Pool Plant,10653.28,2014
Fire Service Radio Equipment - Running Costs,106656.18,2011
Estate-Improvements,28262.88,2011
Child In Care Residential School 52 Week Out Of Norfolk,2364727.02,2013
Highway Traffic Signals and Systems Planned and Contracted Maintenance,1235088.14,2011
Bmf Repair & Replacement Of Light,196042.72,2013
Child In Care Short Term Break,6880,2012
CONSTR COSTS - M&E OTHER,10085291.1,2011
ICT Other Running Costs,4124632.82,2013
Highway Winter Gritting,180561.76,2013
Bmf External Redecoration,95532.14,2013
"Broadband, Virtual Private Network & Leased Lines",464222.12,2014
Accreditation Scheme Payments,7046247.7,2011
Adult Placement Scheme,70775.6,2012
Highway Traffic Signals and Systems Non-Planned Maintenance,158047.96,2011
Purchase Of Land,7224000,2013
Building Repairs,1372071.46,2012
Canteen Equipment - Purchase,12735.6,2011
Purchase Of Furniture,148013.36,2014
Direct Payments - Short Term Break,13541.3,2014
Block Gross N Chargeable Supporting People,364134.72,2011
Members Conference Expenses-Other,750,2014
Bmpp Swimming Pool Maintenance,11851.98,2013
Library Books - Electronic Subscriptions,149087.14,2012
Services Provided By Landlord,484817.5,2012
Alterations To Service - Telecom,63889.44,2011
Interpreters,18688.8,2011
Interpreters/Translators,9091.62,2011
Vehicle Insurance,-19818.94,2013
Foster Parents Payments,3688539.46000002,2012
Child In Care Residential Home Out Of Norfolk,8531336.58000001,2013
Linen & Laundry,43543.14,2011
Fees/Expenses - Other Consultants,818231.3,2011
Office Equipment & Supplies,484670.12,2013
